,,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,Total,Sc,Be,V,Ba,Sr,Y,Zr,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Nb,Mo,Ag,In,Sn,Sb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
52_4_d2_3,NA,75.27,12.34,2.88,0.071,0.72,1.57,2.57,2.93,0.524,0.18,1.56,100.6,9,7,50,491,125,36,228,30,19,< 20,20,70,14,2,7,116,6,< 2,1.2,< 0.2,4,< 0.5,5.7,35.9,72.3,8.86,34,7.4,1.26,6.5,1.1,6.3,1.3,3.8,0.57,3.8,0.59,6,1.6,334,0.6,25,< 0.4,12,4.2
86_3_d2_2,NA,73.32,12.69,3.36,0.076,0.8,1.17,2.18,3.25,0.497,0.15,2.15,99.66,9,5,57,480,97,29,212,40,33,< 20,10,70,16,1,5,142,7,2,0.9,< 0.2,4,< 0.5,7,33.8,67.4,8.06,30.7,6.1,1.05,5.5,0.9,5.4,1,2.9,0.42,2.9,0.46,5.3,1.6,310,0.6,26,< 0.4,9.9,4
86_2_W2.2_Oa,W2.2_Oa,4.09,1.15,0.21,0.009,0.06,0.2,0.11,0.16,0.037,0.16,93.07,99.26,< 1,< 1,< 5,53,15,3,3,< 20,2,< 20,< 10,< 30,1,< 1,< 5,6,< 1,< 2,< 0.5,< 0.2,1,< 0.5,0.7,3.6,6.2,0.79,3,0.7,0.16,0.5,< 0.1,0.5,0.1,0.3,< 0.05,0.3,0.04,< 0.2,< 0.1,9,0.1,< 5,< 0.4,0.4,0.4
86_2_W2.2_E.1,W2.2_E.1,79.07,9.6,1.55,0.054,0.51,0.87,1.48,2.42,0.856,0.04,2.58,99.02,9,2,56,390,80,36,253,30,2,< 20,< 10,< 30,12,2,< 5,80,9,< 2,1.7,< 0.2,3,< 0.5,5,33.5,68.5,7.98,30.7,6.3,0.99,5.5,0.9,6.1,1.3,4,0.58,3.9,0.63,6.8,1.5,3,0.4,19,< 0.4,10.6,3.1
86_2_W2.2_E.2,W2.2_E.2,77.59,9.04,2.75,0.082,0.99,1.12,1.3,2.13,1.183,0.07,2.78,99.02,11,2,74,349,71,30,303,40,5,< 20,< 10,40,14,2,< 5,78,10,2,1.4,< 0.2,4,< 0.5,5,32.3,67.9,8.03,32.1,6.7,1.01,6,0.9,5.6,1.1,3.3,0.49,3.1,0.51,7.7,1.2,3,0.3,18,< 0.4,9.7,3
86_3_W3.2_Oa,W3.2_Oa,7.87,1.71,0.56,0.015,0.09,0.25,0.19,0.28,0.093,0.16,88.12,99.36,1,< 1,13,83,21,4,12,< 20,1,< 20,10,50,2,< 1,< 5,12,1,< 2,< 0.5,< 0.2,6,0.8,1.4,6.4,12,1.42,5.3,1,0.21,0.8,0.1,0.8,0.2,0.5,0.07,0.4,0.07,0.6,< 0.1,< 1,0.1,< 5,< 0.4,1.4,0.6
86_3_W3.2_A,W3.2_A,54.13,9.26,3.13,0.036,0.3,0.79,1.52,2.06,0.634,0.13,26.62,98.61,6,2,65,379,78,27,217,30,3,< 20,< 10,40,17,< 1,6,77,9,4,1.1,< 0.2,4,< 0.5,5.3,27.4,56.6,6.46,23.7,5,0.84,4.3,0.8,4.7,1,3.1,0.46,3.2,0.53,6.3,1.1,2,0.3,21,< 0.4,8.3,2.8
86_3_W3.2_Bhs1,W3.2_Bhs1,56.74,10.49,5.32,0.04,0.44,0.81,1.59,2.23,0.713,0.16,22.15,100.7,8,3,78,418,80,22,252,30,3,< 20,< 10,50,20,1,8,87,11,2,1.2,< 0.2,5,< 0.5,6.8,30.6,63.6,7.2,27.4,5.5,0.97,4.6,0.7,4.3,0.9,2.5,0.37,2.5,0.43,6.5,1.1,1,0.4,19,< 0.4,8.8,3.3
86_3_W3.2_Bhs2.1,W3.2_Bhs2.1,63.53,9.99,4.2,0.047,0.39,0.86,1.67,2.27,0.593,0.13,15.64,99.33,6,3,58,406,83,24,252,30,4,< 20,< 10,40,17,< 1,5,85,7,2,1.2,< 0.2,4,< 0.5,5.7,27.4,57.3,6.66,24.4,5.1,0.9,4.5,0.7,4.4,0.9,2.7,0.41,2.8,0.41,6.3,1,< 1,0.4,28,< 0.4,8.3,2.8
86_3_W3.2_Bhs2.2,W3.2_Bhs2.2,63.75,9.97,4.61,0.052,0.46,0.87,1.64,2.21,0.579,0.13,15.99,100.3,6,13,58,397,81,27,255,30,4,< 20,< 10,30,16,< 1,5,88,13,2,1.2,< 0.2,4,< 0.5,5.8,27.2,56.5,6.36,24.1,4.9,0.9,4.6,0.7,4.9,1,2.8,0.43,2.8,0.49,6.7,28.1,< 1,0.4,18,< 0.4,8.3,3.1
86_3_W3.2_Bhs3.1,W3.2_Bhs3.1,74.67,9.54,3.18,0.057,0.46,0.92,1.77,2.32,0.451,0.08,7.24,100.7,6,3,41,391,84,23,197,30,4,< 20,< 10,50,14,< 1,< 5,89,6,2,0.9,< 0.2,2,< 0.5,4.9,21.2,43.3,5.04,19.9,4,0.79,3.4,0.6,3.8,0.8,2.3,0.35,2.3,0.43,4.9,0.8,< 1,0.4,22,< 0.4,6.6,2.2
86_3_W3.2_Bhs3.2,W3.2_Bhs3.2,73.95,9.81,3.32,0.054,0.49,0.92,1.82,2.43,0.47,0.07,7.44,100.8,6,3,44,400,85,26,207,20,3,< 20,< 10,< 30,12,1,< 5,83,6,< 2,1.2,< 0.2,3,< 0.5,5.3,23,47.1,5.47,20.7,4.3,0.77,3.6,0.6,4.1,0.9,2.7,0.41,2.8,0.39,5.3,0.8,< 1,0.4,18,< 0.4,7.5,2.6
