"","pedon","orig_horizon","subdivision","horizon","top cm","base cm","thick","major_color","hue","value","chroma","minor_color","depletion","concentration","texture_modifier","texture_base","structure","consistence","boundary","frags","roots","sample collected","elemental","newname","Si","Al","Fe","Mn","Mg","Ca","Na","K","Ti","P","Ba","Sr","Y","Zr","Co","Ga","Rb","Sn","Cs","La","Ce","Pr","Nd","Sm","Eu","Gd","Dy","Er","Yb","Lu","Th","U"
"23","42_4_PFM","Bhs1",NA,"Bhs1",11.5,16,4.5,"5YR2.5/2","5YR",2.5,2,"0",NA,NA,NA,"sl","2msbk","fr","cs",2,"f","Y","Y","42_4_PFM_Bhs1",293690.4867779,44881.3487424,38398.7487789,433.69863376,1929.7340224,5717.56692,10311.912102,16686.019422,3398.30826867,785.5716726,362,74,22,180,14,19,82,3,4.7,21.2,45.2,5,18.8,4.1,0.69,3.4,3.8,2.5,2.6,0.4,7.2,2
"24","42_4_PFM","Bhs2",NA,"Bhs2",16,36,20,"7.5YR3/3","7.5YR",3,3,"0",NA,NA,NA,"sl","2msbk","fr","gs",10,"0","Y","Y","42_4_PFM_Bhs2",299486.7020191,55837.055334,31824.0996255,487.91096298,2834.2968454,6217.8540255,12834.250314,17101.094532,3416.2887357,741.9288019,386,89,23,246,12,15,74,3,4.6,21.8,46.5,5.25,19.9,4.2,0.8,3.9,3.9,2.4,2.3,0.38,8.1,2.2
"25","42_4_PFM","Bh",NA,"Bh",36,45,9,"10YR3/3","10YR",3,3,"0",NA,NA,NA,"sl","2msbk","fr","as",10,"0","Y","Y","42_4_PFM_Bh",323606.4364099,58906.7702244,25739.0520048,565.35714758,3135.8177864,8219.0024475,13576.114494,17350.139598,2631.14167539,785.5716726,372,91,26,195,15,13,82,2,4.1,21,48.5,5.02,19,4.1,0.86,3.7,4.5,2.8,2.7,0.43,7.6,2.2
"26","42_4_PFM","BC",NA,"BC",45,50.5,5.5,"10YR4/4","10YR",4,4,"0",NA,NA,NA,"sl","2msbk","fr",NA,10,"0","Y","Y","42_4_PFM_BC",340013.4650362,57371.9127792,21612.4105149,542.1232922,3196.1219746,8933.6983125,14466.35151,18180.289818,2397.395604,785.5716726,375,91,27,214,20,14,90,4,4.2,24.4,58.4,5.92,22.9,4.7,0.94,4.6,4.7,2.8,2.9,0.48,8.7,2.2
"27","42_4_V4.1","Oa",NA,"Oa",8,16,8,"5YR2.5/1","5YR",2.5,1,NA,NA,NA,NA,NA,NA,NA,"as",0,"c","Y","Y","42_4_V4.1_Oa",192817.6441125,24451.8668856,7274.0799144,271.0616461,723.6502584,3573.479325,5934.91344,11040.997926,1540.32667557,567.3573191,252,47,15,84,50,6,48,5,2.2,12.2,24.9,2.84,10.7,2.3,0.39,2,2.4,1.6,1.7,0.28,4.3,1.4
"28","42_4_V4.1","E",NA,"E",16,24,8,"7.5YR5/2","7.5YR",5,2,"5YR4/1",NA,NA,NA,"ls","2msbk","fr","aw",2,"f","Y","Y","42_4_V4.1_E",375304.9368677,48903.7337712,9861.9737301,317.52935686,964.8670112,4645.5231225,11721.454044,22995.161094,3380.32780164,261.8572242,402,74,23,264,25,12,98,4,4.3,28.4,60.1,6.88,25.4,5.4,0.78,4.4,4.5,2.7,2.8,0.46,10,2.4
"29","42_4_V4.1","Bhs1",NA,"Bhs1",24,32.5,8.5,"5YR3/1","5YR",3,1,"0",NA,NA,NA,"sl","2msbk","fr","cw",2,"f","Y","Y","42_4_V4.1_Bhs1",347866.4018146,50015.182266,11750.4367848,348.5078307,1447.3005168,5074.3406415,11721.454044,22912.146072,3925.73530155,436.428707,403,77,28,214,81,14,105,4,5.6,29,61.1,6.83,24.5,5.1,0.79,4.7,5,3.2,3.3,0.53,9.4,2.5
"30","42_4_V4.1","Bhs2",1,"Bhs2.1",32.5,38,5.5,"7.5YR3/3","7.5YR",3,3,"0",NA,NA,NA,"sl","2msbk","fr","cs",2,"f","Y","Y","42_4_V4.1_Bhs2.1",315099.0882333,53190.749394,22521.6705042,371.74168608,1990.0382106,5431.688574,12389.131806,22995.161094,3056.6793951,523.7144484,395,76,23,170,21,18,114,4,5.7,25.5,54.7,6.04,22.4,4.8,0.89,4.3,4.6,2.9,3,0.51,8.5,2.5
"31","42_4_V4.1","Bhs2",2,"Bhs2.2",38,43,5,"7.5YR3/3","7.5YR",3,3,"0",NA,NA,NA,"sl","2msbk","fr","cs",2,"f","Y","Y","42_4_V4.1_Bhs2.2",311827.0312423,49644.6994344,26228.6535375,394.97554146,2110.646587,6074.9148525,12166.572552,19259.485104,2709.05703252,567.3573191,359,78,24,190,18,16,93,6,4.7,23.3,49.8,5.56,20.5,4.4,0.8,3.8,4.3,2.6,2.7,0.44,8.5,2.3
"32","42_4_V4.1","Bh",1,"Bh.1",43,50,7,"10YR3/2","10YR",3,2,"10YR2/2",NA,NA,NA,"sl","2msbk","fr","gs",2,"f","Y","Y","42_4_V4.1_Bh.1",305656.8666307,57424.838898,22521.6705042,480.16634452,2472.4717162,7004.019477,13576.114494,19010.440038,2397.395604,829.2145433,362,82,25,171,20,13,91,3,4.6,25.8,56.2,6.23,23.4,4.9,0.85,4.4,4.7,2.8,2.8,0.44,9.2,2.3
"33","42_4_V4.1","Bh",2,"Bh.2",50,56.5,6.5,"10YR3/2","10YR",3,2,"10YR2/2",NA,NA,NA,"sl","2msbk","fr","gs",2,"f","Y","Y","42_4_V4.1_Bh.2",315379.5502611,62452.820184,19304.2890036,433.69863376,2894.6010336,7647.2457555,14911.470018,19591.545192,2379.41513697,872.857414,373,88,25,197,18,12,94,3,4.9,26.8,58.4,6.42,23.6,5.3,0.9,4.7,4.9,3,2.7,0.43,9.5,2.5
"34","42_4_V4.1","BC",NA,"BC",56.5,66,9.5,"10YR4/3","10YR",4,3,"5YR3/2",NA,NA,NA,"sl","2msbk","fr","gs",2,"0","Y","Y","42_4_V4.1_BC",333983.5314385,63881.8253916,18115.2567099,456.93248914,3316.730351,7933.1241015,16766.130468,22165.010874,2367.42815895,872.857414,399,95,25,202,23,12,105,5,5.3,27.6,59.7,6.54,24.6,5.2,0.97,4.7,4.8,2.8,2.9,0.44,9.1,2.3
"35","42_4_V4.1","C",2,"C.2",82,90,8,"2.5Y5/3","2.5Y",5,3,"0",NA,NA,"vgr","ls","1mpl","vfr",NA,40,"0","Y","Y","42_4_V4.1_C.2",358570.7025423,60282.8493132,17625.6551772,573.10176604,3437.3387274,9433.985418,17359.621812,23991.341358,2475.31096113,785.5716726,416,104,28,219,34,14,139,4,6.1,31.6,67.1,7.31,28.8,5.8,1.02,5.2,5.6,3.4,3.2,0.51,11.3,2.9
"36","52_2_PFM","Oa",NA,"Oa",8,10,2,"5YR2.5/1","5YR",2.5,1,"0",NA,NA,NA,NA,"1mgr",NA,"cb",0,"m","Y","Y","52_2_PFM_Oa",61514.6714308,13231.5297,6154.9906968,333.01859378,783.9544466,1500.8613165,1854.66045,4233.766122,893.02986249,1920.2863108,96,19,4,18,34,2,21,6,4.4,6.7,12.4,1.32,5.2,0.9,0.2,0.9,0.8,0.5,0.5,0.08,1.6,0.9
"37","52_2_PFM","E",NA,"E",10,30,20,"5YR4/1","5YR",4,1,"0",NA,NA,NA,"sl","2msbk","fr",NA,5,"c","Y","Y","52_2_PFM_E",344267.1391245,55201.9419084,14967.8182854,456.93248914,1688.5172696,3716.418498,8902.37016,21583.90572,5555.96431227,567.3573191,483,85,30,382,13,18,95,6,10.2,40.8,82.9,9.62,36.6,7.1,1.08,5.7,5.1,3.1,3.2,0.55,12.3,3.7
"38","52_2_X2.1","Oa",NA,"Oa",7,12.5,5.5,"5YR2.5/1","5YR",2.5,1,"0",NA,NA,NA,NA,"1mgr","fr","cs",0,"m","Y","Y","52_2_X2.1_Oa",142147.5044233,27309.8773008,9512.2583496,271.0616461,964.8670112,1429.39173,3560.948064,8882.607354,3044.69241708,1789.3576987,194,38,15,136,9,8,47,12,5.7,18.9,37.1,4.16,15.6,3.1,0.46,2.5,2.5,1.6,1.6,0.25,5.8,2.6
"39","52_2_X2.1","E1",1,"E1.1",12.5,19.5,7,"5YR5/2","5YR",5,2,"0",NA,NA,NA,"sl","2msbk","fr","cs",2,NA,"Y","Y","52_2_X2.1_E1.1",374089.6014139,47686.4330388,9652.1445018,348.5078307,1145.7795758,2644.3747005,8383.065234,20006.620302,5525.99686722,305.5000949,394,70,38,429,9,12,83,6,6.3,38.6,78.6,8.79,32.7,6.6,0.97,5.9,6.4,4.2,4.2,0.67,11.4,4
"40","52_2_X2.1","E1",2,"E1.2",19.5,26,6.5,"5YR5/2","5YR",5,2,"0",NA,NA,NA,"sl","2msbk","fr","cs",2,NA,"Y","Y","52_2_X2.1_E1.2",382970.8989609,42976.0084656,8533.0552842,410.46477838,1085.4753876,2429.965941,7344.455382,19259.485104,4680.91491681,261.8572242,379,61,32,349,17,12,82,5,6,34.1,70.4,7.91,29.2,5.9,0.87,5.3,5.4,3.6,3.6,0.56,10.1,3.1
"41","52_2_X2.1","E2",NA,"E2",26,30,4,"7.5YR5/1","7.5YR",5,1,"0",NA,NA,NA,"sl","2msbk","fr",NA,2,NA,"Y","Y","52_2_X2.1_E2",395264.4845128,41441.1510204,8602.9983603,410.46477838,1025.1711994,2501.4355275,7418.6418,18429.334884,4692.90189483,174.5714828,379,62,36,370,71,11,78,5,5.5,36.8,75.4,8.53,31.9,6.3,0.9,5.5,6.1,4.1,4.3,0.68,11,3.3
