"","X","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce","LV","Hor","Cat"
"42",42,"52_3_PFM",16.5,23,19.75,"52_3_PFM_Oa",2936.8096149,166,19,17.6916241861446,13568.9567634,35883.9085464,182907.9857969,356.25244916,3502.0097385,1658.4290866,11954.163168,40.8,-0.414794112325795,-0.502886510580739,-0.560728841062189,-0.473387138160659,-0.66958456970065,1.1769679301312,-0.575206421766927,-0.461423651600066,"L","Oa","LOa"
"43",43,"52_3_PFM",23,33,28,"52_3_PFM_Bhs1",4291.33813116,292,29,14.6963634628767,16786.338264,46892.5412568,293176.3063936,526.63405528,4431.114363,1091.0717675,18346.319862,54.1,-0.504548375925196,-0.555427460208965,-0.518149904508109,-0.467247371979389,-0.713886079908384,-0.0198523543036173,-0.553839845332291,-0.511271756910195,"L","Bhs","LBhs"
"44",44,"52_3_PFM",33,48,40.5,"52_3_PFM_Bhs2",4207.42928502,383,54,10.9854550522715,25109.5643199,49591.7733156,355579.1075791,1053.26811056,7504.3065825,567.3573191,21168.83061,74.8,-0.244106913231933,-0.520460470301739,-0.403932797621937,0.0867546486118447,-0.505788886304391,-0.480158730134363,-0.474933151311506,-0.310796173343864,"L","Bhs","LBhs"
"45",45,"52_3_X3.1",4,9,6.5,"52_3_X3.1_Oa",2942.80310391,242,24,12.1603434045868,9722.0875779,40911.8898324,295092.7969169,317.52935686,3930.8272575,698.2859312,19342.500126,55.5,-0.581556963387468,-0.43438627931879,-0.292749571550128,-0.531583618420599,-0.629880882556736,-0.0852487634136244,-0.314060267780183,-0.268869863686744,"L","Oa","LOa"
"46",46,"52_3_X3.1",9,15,12,"52_3_X3.1_E",3955.7027466,368,38,10.7491922461957,13499.0136873,48639.1031772,370677.313409,410.46477838,4574.053536,349.1429656,23244.20616,83.8,-0.567768503613327,-0.499742613255592,-0.339081096312737,-0.549534386628205,-0.6795971584976,-0.65974025972431,-0.386766846237609,-0.17873507063287,"L","E","LE"
"47",47,"52_3_X3.1",15,20,17.5,"52_3_X3.1_Bhs1",4381.24046631,215,26,20.377862634,38468.691855,43346.4912972,265878.0023544,402.72015992,4574.053536,741.9288019,15108.734004,50.9,0.112111545603384,-0.597479077759799,-0.571982887551596,-0.600960693520894,-0.710716996728339,-0.347176079703619,-0.640113511677065,-0.549615330012515,"L","Bhs","LBhs"
"48",48,"52_3_X3.1",20,28,24,"52_3_X3.1_Bhs2.1",3632.05434006,260,28,13.9694397694615,38258.8626267,44881.3487424,274338.6068597,433.69863376,4931.4014685,741.9288019,15191.749026,78,0.334190177888786,-0.497258007137349,-0.467266009474661,-0.481623729054688,-0.623784411045294,-0.21251768030255,-0.563494222587096,-0.167459876890997,"L","Bhs","LBhs"
"49",49,"52_3_X3.1",28,36,32,"52_3_X3.1_Bhs2.2",3703.97620818,280,28,13.2284864577857,35740.9118871,54090.4934136,277189.970809,526.63405528,6718.141131,785.5716726,15523.809114,65.9,0.222180814522606,-0.405866069938765,-0.472180853248446,-0.382765563652496,-0.497426368153092,-0.182385575551134,-0.56261421730609,-0.310268383694148,"L","Bhs","LBhs"
"50",50,"52_3_X3.1",36,46,41,"52_3_X3.1_Bhs2.3",3476.2236258,265,30,13.1178250030189,28816.5473532,62294.0418276,290137.9677591,565.35714758,8147.532861,872.857414,17350.139598,72.3,0.0499588038008227,-0.270928026770495,-0.411328956119643,-0.293967688605951,-0.350562774928864,-0.0320197043881241,-0.479129425923743,-0.193705869896701,"L","Bhs","LBhs"
"51",51,"52_3_X3.1",46,55,50.5,"52_3_X3.1_BC.1",3242.47755441,287,31,11.2978312000348,22241.8981998,64834.49553,323886.8984377,534.37867374,8719.289553,698.2859312,19425.515148,80.4,-0.13117383408546,-0.186494004809428,-0.295481797705811,-0.284546296761709,-0.254885720951558,-0.169791391563937,-0.374783943312229,-0.0387375493111978,"L","BC","LBC"
"52",52,"52_3_X3.1",55,75,65,"52_3_X3.1_BC.2",3650.03480709,356,41,10.2529067614888,23920.5320262,59859.4403628,345061.7815366,751.22799062,10148.681283,698.2859312,18512.349906,80.6,-0.169935481045119,-0.332782779688012,-0.333230585141998,-0.106521406324556,-0.229573216707591,-0.262491203343333,-0.470703403877852,-0.143946428422237,"L","BC","LBC"
"53",53,"52_4_PFM",15,32,23.5,"52_4_PFM_Bh1",4698.89538384,202,30,23.2618583358416,33432.7903758,64146.4559856,290792.3791573,588.59100296,8361.9416205,654.6430605,20836.770522,67.9,-0.0988130982336657,-0.444596654520516,-0.563521294442863,-0.45621497962242,-0.506905544068572,-0.462919096184737,-0.537225745935324,-0.43980799546024,"V","Bh","VBh"
"54",54,"52_4_PFM",32,63,47.5,"52_4_PFM_Bh2",4237.39673007,296,25,14.3155294934797,32593.4734626,56895.57771,314725.1388629,503.4001999,7647.2457555,698.2859312,18678.37995,54.7,-0.0257519620326335,-0.453725428914404,-0.47614858337408,-0.484268505947266,-0.499937043252751,-0.364720145454158,-0.53998220178968,-0.499561046878435,"V","Bh","VBh"
"55",55,"52_4_X4.1",9,16,12.5,"52_4_X4.1_Oa",2589.18725232,241,24,10.7435155697925,11400.7214043,35936.8346652,297944.1608662,317.52935686,4002.296844,480.0715777,16436.974356,45.4,-0.442291973934007,-0.435312776327835,-0.188390289807889,-0.467610084825264,-0.571683701463805,-0.285218253934749,-0.337489182095989,-0.32024047711823,"V","Oa","VOa"
"56",56,"52_4_X4.1",16,26,21,"52_4_X4.1_E",2966.77705995,264,26,11.23779189375,11120.9490999,44934.2748612,387084.3420353,371.74168608,4288.17519,174.5714828,22248.025896,56.1,-0.525217216404276,-0.383796124271306,-0.0797697450299747,-0.456041523475569,-0.599496448122,-0.77316017314954,-0.217397689484187,-0.266937748011201,"V","E","VE"
"57",57,"52_4_X4.1",26,31,28.5,"52_4_X4.1_Bhs",2984.75752698,167,24,17.8727995627545,26998.0273746,48003.9897516,311780.287571,402.72015992,5217.2798145,392.7858363,19259.485104,53.5,0.145673845844193,-0.345665410602284,-0.263258026352049,-0.414261580248542,-0.515656096147539,-0.492685025793776,-0.326604557486394,-0.305123485446479,"V","Bhs","VBhs"
"58",58,"52_4_X4.1",31,36,33.5,"52_4_X4.1_Bs1",2822.93332371,231,24,12.2204905788312,33642.6196041,51020.7785232,309910.540719,449.18787068,5860.506093,480.0715777,18346.319862,55.6,0.509479454395489,-0.264677151287719,-0.225695927809221,-0.309224705369054,-0.424754452557395,-0.344404003608942,-0.321760783987092,-0.236450707932237,"V","Bs","VBs"
"59",59,"52_4_X4.1",36,45,40.5,"52_4_X4.1_Bs2.1",2259.54535677,151,21,14.9638765349007,18884.630547,54460.9762452,297803.9298523,387.230923,5717.56692,480.0715777,17101.094532,52.3,0.0585843055497466,-0.0193908104657725,-0.0704234126329438,-0.256024961650106,-0.298853198303766,-0.180939749866874,-0.210163133899824,-0.102687881595861,"V","Bs","VBs"
"60",60,"52_4_X4.1",45,54.5,49.75,"52_4_X4.1_Bs2.2",2475.31096113,222,23,11.1500493744595,22171.9551237,54513.902364,314491.4205064,441.44325222,6575.201958,611.0001898,17267.124576,52.6,0.134520238292033,-0.103997735435009,-0.103903351222343,-0.225797598106496,-0.263965627420334,-0.0484261500764609,-0.272011005287954,-0.1762055023228,"V","Bs","VBs"
"61",61,"52_4_X4.1",54.5,62,58.25,"52_4_X4.1_BC.1",2469.31747212,201,24,12.2851615528358,19374.2320797,59330.1791748,333936.7877672,433.69863376,7289.897823,523.7144484,18844.409994,63.6,-0.00623066842633502,-0.0224694682994454,-0.0461871877589122,-0.23753393157073,-0.181981216249182,-0.182385575551134,-0.203583641672318,-0.00151143861034519,"V","BC","VBC"
"62",62,"52_4_X4.1",62,69,65.5,"52_4_X4.1_BC.2",2589.18725232,191,31,13.5559542006283,20003.7197646,59594.8097688,338938.3605963,449.18787068,7218.4282365,567.3573191,19425.515148,60.7,-0.0214448131602815,-0.0635672844552905,-0.0767207391586138,-0.246863046825983,-0.227500961568649,-0.15525793646834,-0.217032669749805,-0.09115852337173,"V","BC","VBC"
"63",63,"86_2_PFM",12,19,15.5,"86_2_PFM_Oa",1060.84755477,16,7,66.302972173125,8253.2829798,11855.4506112,61374.4404169,92.93542152,1572.330903,916.5002847,3901.706034,19.2,-0.0146017698956681,-0.545329595198089,-0.591952819118339,-0.619690048192665,-0.589314154430186,2.33050847473239,-0.616172469134194,-0.298365142662765,"L","Oa","LOa"
"64",64,"86_2_PFM",19,23,21,"86_2_PFM_E",3074.65986213,339,42,9.06979310362832,11120.9490999,39853.3674564,399471.4149298,704.76027986,5574.627747,174.5714828,17516.169642,88.8,-0.541876261442723,-0.472649277513197,-0.0836435409242444,-0.00492976059766859,-0.497613965626719,-0.781119465319732,-0.40546610280597,0.119641004069579,"L","E","LE"
"65",65,"86_2_W2.2",11,16,13.5,"86_2_W2.2_Oa",221.75909337,3,3,73.91969779,1468.8045981,6086.503662,19118.1615617,69.70156614,1429.39173,698.2859312,1328.240352,6.2,-0.161079885181447,0.116652520480562,-0.391948301484817,0.364490435200643,0.786029352969461,11.1389961395651,-0.374928368365749,0.0838599274238203,"L","Oa","LOa"
"66",66,"86_2_W2.2",16,23,19.5,"86_2_W2.2_E.1",5130.42659256,253,36,20.278365978498,10841.1767955,50809.074048,369602.2089691,418.20939684,6217.8540255,174.5714828,20089.635324,68.5,-0.732353868575634,-0.597079464369468,-0.491890989917558,-0.646125144141889,-0.664180579018184,-0.868825100127363,-0.591348467461077,-0.482393166631054,"L","E","LE"
"67",67,"86_2_W2.2",23,31,27,"86_2_W2.2_E.2",7090.29749883,303,30,23.4003217783168,19234.3459275,47845.2113952,362684.1456167,635.05871372,8004.593688,305.5000949,17682.199686,67.9,-0.656401716045615,-0.725460005843406,-0.639222097553908,-0.611170848088781,-0.687180657704757,-0.833896872350625,-0.739740620831069,-0.628748494032822,"L","E","LE"
"68",68,"86_3_PFM",13,30,21.5,"86_3_PFM_Oa",641.30332407,22,9,29.1501510940909,5805.2753163,25298.6847864,48379.6997955,100.68003998,1072.0437975,960.1431554,2822.510748,19.6,0.146561492037284,0.604966800261619,-0.467921765083771,-0.318463240569565,-0.536800798645771,4.77169559439604,-0.540689186567822,0.184828488645997,"L","Oa","LOa"
"69",69,"86_3_PFM",30,44,37,"86_3_PFM_Bhs1",1570.29412062,74,16,21.2201908191892,16996.1674923,40806.0375948,122187.9567782,278.80626456,2644.3747005,1396.5718624,7305.321936,35.6,0.37090707966805,0.0572434932541981,-0.451188486375339,-0.229219143474446,-0.53338278927191,2.42857142873214,-0.514495889169579,-0.121115306326855,"L","Bhs","LBhs"
"70",70,"86_3_PFM",44,72,58,"86_3_PFM_Bhs2",3632.05434006,235,26,15.455550383234,30635.0673318,55519.4986212,296448.3633846,503.4001999,5931.9756795,436.428707,17267.124576,58.7,0.0683277841230132,-0.378093926281934,-0.424331407750604,-0.398313256938477,-0.547450813286369,-0.536775106060323,-0.503862285782055,-0.373460189403866,"L","Bhs","LBhs"
"71",71,"86_3_PFM",72,75,73.5,"86_3_PFM_C",2679.08958747,221,37,12.1225773188688,23011.2720369,51761.7441864,360066.5000239,782.20646446,8862.228726,523.7144484,18678.37995,51.5,0.0879060996789438,-0.213944400231308,-0.0520808506286915,0.267487138042456,-0.0834113342926305,-0.246404602073976,-0.272410328110299,-0.254782748175619,"L","C","LC"
"72",72,"86_3_W3.2",7,12,9.5,"86_3_W3.2_Oa",557.39447793,12,4,46.4495398275,3916.8122616,9050.3663148,36787.2693131,116.1692769,1786.7396625,698.2859312,2324.420616,12,-0.109962888938023,-0.339405283115426,-0.534509624600689,-0.0952303565873874,-0.111786477689919,3.82949308778398,-0.564802277975078,-0.165394020506111,"L","Oa","LOa"
