pedon,horizon,subdivision,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental
42_4_V4.1,D,9,180,184,4,,,,,,,,,,,,,,,Y,Y
42_4_V4.2,Oi,,0,6,6,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,Y,
42_4_V4.2,Oe,,6,9,3,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,Y,
42_4_V4.2,Oa,,9,11,2,7.5YR2.5/2,7.5YR,2.5,2,0,,,,,1mgr,,cs,0,m,Y,
42_4_V4.2,E,,11,16,5,7.5YR7/1,7.5YR,7,1,5YR4/1,,,,ls,2msbk,fr,cs,2,c,Y,
42_4_V4.2,Bhs,,16,20,4,5YR2.5/2,5YR,2.5,2,0,,,,sl,2msbk,fr,cw,2,f,Y,
42_4_V4.2,Bs,,20,48,28,7.5YR3/3,7.5YR,3,3,"7.5YR2.5/3, 7.5YR3/4",,,,sl,2msbk,fr,cs,5,f,Y,
42_4_V4.2,BC,,48,62,14,10YR3/3,10YR,3,3,"5YR2.5/2, 7.5YR5/3",,,,sl,2msbk,fr,cs,5,f,Y,
42_4_V4.2,Cd,,62,68,6,2.5Y4/3,2.5Y,4,3,0,,,,ls,1msbk,fr,,8,0,N,
42_5_V5.1,Oi,,0,3,3,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,Y,
42_5_V5.1,Oe,,3,9,6,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,Y,
42_5_V5.1,Oa,,9,15,6,7.5YR2.5/2,7.5YR,2.5,2,0,,,,,1mgr,,as,0,m,Y,
42_5_V5.1,Bhs,,15,44,29,7.5YR2.5/1,7.5YR,2.5,1,0,,,,sl,2msbk,fr,cs,2,c,Y,
42_5_V5.1,Bh1,,44,55,11,10YR3/1,10YR,3,1,7.5YR2.5/3,,,,sl,2msbk,fr,cs,5,f,Y,
42_5_V5.1,Bh2,,55,68,13,10YR3/2,10YR,3,2,0,,,,sl,1msbk,fr,,8,f,Y,
42_5_V5.2,Oi,,0,6,6,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,Y,
42_5_V5.2,Oe,,6,11,5,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,Y,
42_5_V5.2,Oa,,11,16,5,5YR2.5/2,5YR,2.5,2,0,,,,,1mgr,,as,0,m,Y,
42_5_V5.2,Bhs,,16,28,12,5YR2.5/1,5YR,2.5,1,0,,,,sl,1msbk,fr,cw,2,c,Y,
42_5_V5.2,Bh,,28,63,35,10YR2/2,10YR,2,2,0,,,,sl,2msbk,fr,,8,f,Y,
52_1_PFM,O,,,,0,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,N,
52_1_X1.1,O,,0,9,9,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,N,
52_1_X1.1,R,,9,9,0,,,,,,,,,,,,,,,Y,
52_2_PFM,Oi,,0,5,5,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,?,
52_2_PFM,Oe,,5,8,3,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,?,
52_2_PFM,Oa,,8,10,2,5YR2.5/1,5YR,2.5,1,0,,,, ,1mgr, ,cb,0,m,Y,Y
52_2_PFM,E,,10,30,20,5YR4/1,5YR,4,1,0,,,,sl,2msbk,fr, ,5,c,Y,Y
52_2_PFM,R,,30,30,0,,,,,,,,,,,,,,,N,
52_2_X2.1,Oi,,0,4,4,5YR2.5/1,5YR,2.5,1,,,,, , , , ,,,Y,
52_2_X2.1,Oe,,4,7,3,5YR2.5/1,5YR,2.5,1,,,,, , , , ,,,Y,
52_2_X2.1,Oa,,7,12.5,5.5,5YR2.5/1,5YR,2.5,1,0,,,, ,1mgr,fr,cs,0,m,Y,Y
52_2_X2.1,E1,1,12.5,19.5,7,5YR5/2,5YR,5,2,0,,,,sl,2msbk,fr,cs,2, ,Y,Y
52_2_X2.1,E1,2,19.5,26,6.5,5YR5/2,5YR,5,2,0,,,,sl,2msbk,fr,cs,2, ,Y,Y
52_2_X2.1,E2,,26,30,4,7.5YR5/1,7.5YR,5,1,0,,,,sl,2msbk,fr, ,2, ,Y,Y
52_2_X2.1,R,,30,30,0,,,,,,,,,,,,,,,Y,
