,,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,Total,Sc,Be,V,Ba,Sr,Y,Zr,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Nb,Mo,Ag,In,Sn,Sb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
86_3_PFM_Bhs1,86_3_PFM_Bhs1,26.14,7.71,2.43,0.036,0.16,0.37,0.63,0.88,0.262,0.32,61.77,100.7,4,2,24,151,31,16,74,30,7,< 20,10,< 30,7,1,5,33,3,< 2,< 0.5,< 0.2,2,< 0.5,2.1,16.6,35.6,3.84,15.1,3.3,0.67,2.9,0.6,3.5,0.6,1.7,0.26,1.7,0.27,2.7,0.4,38,0.2,< 5,< 0.4,5.4,4.4
86_3_PFM_Bhs2,86_3_PFM_Bhs2,63.42,10.49,4.38,0.065,0.47,0.83,1.54,2.08,0.606,0.1,16.79,100.8,7,4,55,358,81,26,235,40,14,< 20,10,< 30,15,2,9,82,6,< 2,0.8,< 0.2,3,< 0.5,5.9,25.6,58.7,5.99,23.1,5.1,0.89,4.2,0.7,4.8,0.9,2.8,0.41,2.8,0.45,5.7,1.5,132,0.3,7,< 0.4,8.9,3.2
86_3_PFM_C,86_3_PFM_C,77.03,9.78,3.29,0.101,0.5,1.24,2,2.25,0.447,0.12,3.85,100.6,6,4,40,354,93,37,221,40,13,< 20,< 10,50,12,2,< 5,89,5,< 2,0.8,< 0.2,2,< 0.5,3.7,23.9,51.5,5.76,22.4,4.9,0.89,4.7,0.9,6.3,1.3,4.3,0.66,4.6,0.75,5.2,2.1,130,0.3,18,< 0.4,7.7,2.5
86_4_PFM_Oa,86_4_PFM_Oa,10.31,2.95,0.66,0.017,0.05,0.24,0.24,0.32,0.108,0.12,84.78,99.79,2,1,12,105,19,9,31,< 20,42,< 20,< 10,< 30,2,< 1,< 5,10,< 1,< 2,< 0.5,< 0.2,1,< 0.5,0.6,7.7,15.6,1.69,6.8,1.5,0.31,1.2,0.2,1.4,0.3,0.9,0.14,0.9,0.13,0.9,< 0.1,23,< 0.1,< 5,< 0.4,1.5,0.7
86_4_PFM_E,86_4_PFM_E,81.5,8.13,2.73,0.068,0.16,0.66,1.43,2.31,0.664,0.03,2.84,100.5,5,3,45,371,69,32,345,30,22,< 20,< 10,< 30,14,2,< 5,79,7,< 2,1.3,< 0.2,4,< 0.5,2.9,28.8,60.6,7,26.5,5.3,0.76,4.8,0.8,5.3,1.2,3.6,0.53,3.6,0.59,8.5,1.8,214,0.4,17,< 0.4,9.5,2.7
86_4_PFM_Bhs,86_4_PFM_Bhs,60.5,8.52,5.61,0.062,0.32,0.82,1.44,1.88,0.641,0.1,19.32,99.23,6,2,71,320,73,27,202,40,11,< 20,< 10,< 30,19,2,9,66,5,< 2,0.7,< 0.2,3,< 0.5,3.8,21.1,44.8,5.01,18.8,4.1,0.66,3.6,0.6,4.1,0.9,2.6,0.42,2.7,0.47,4.3,1.1,137,0.3,< 5,< 0.4,7.4,2.1
86_4_PFM_Bs,86_4_PFM_Bs,60.73,10.75,4.11,0.072,0.45,0.99,1.54,1.77,0.542,0.09,17.73,98.77,7,3,50,317,81,34,221,40,11,< 20,< 10,< 30,14,2,8,71,5,< 2,0.8,< 0.2,2,< 0.5,4.4,24.3,55.3,5.8,21.7,4.8,0.8,4.7,0.9,5.7,1.2,3.9,0.57,3.8,0.61,5.3,0.9,70,0.3,< 5,< 0.4,9.6,2.9
86_4_PFM_BC,86_4_PFM_BC,61.85,11.65,5.12,0.081,0.77,1.04,1.7,1.88,0.732,0.14,15.81,100.8,9,3,75,385,99,26,243,50,21,< 20,10,60,16,2,8,97,9,2,0.9,< 0.2,3,< 0.5,8.2,26.6,56.6,6.26,23.6,5.1,1.04,4.8,0.8,5.2,1.1,3.2,0.47,3.1,0.49,6.3,1.2,95,0.5,17,< 0.4,9.8,3.4
42_2_PFM_E1,42_2_PFM_E1,79.06,8.63,2.05,0.056,0.25,0.64,1.16,2.33,0.851,0.11,4.01,99.13,7,3,50,379,69,33,366,50,26,< 20,< 10,< 30,19,2,< 5,81,11,2,1.3,< 0.2,4,< 0.5,5.4,31.5,64.5,7.5,28.1,5.8,0.81,5.3,0.9,5.7,1.2,3.8,0.56,4,0.64,9.1,2.2,307,0.4,24,< 0.4,10.2,2.9
42_2_PFM_E2,42_2_PFM_E2,80.94,8.23,2.36,0.084,0.29,0.9,1.42,2.35,0.495,0.08,1.74,98.9,5,3,32,374,74,35,248,30,16,< 20,< 10,< 30,13,2,< 5,93,5,< 2,0.8,< 0.2,4,< 0.5,3.7,27.3,56.3,6.69,24.9,5.1,0.84,5,1,6.5,1.4,4.2,0.68,4.5,0.71,6.2,1.1,82,0.5,20,< 0.4,9.1,2.6
42_3_PFM_Oa,42_3_PFM_Oa,49.56,6.32,2.6,0.062,0.24,0.57,0.94,1.4,0.378,0.45,36.53,98.46,4,2,34,243,51,15,181,30,67,< 20,10,< 30,10,2,< 5,58,8,3,1,< 0.2,8,1.2,4.3,19.3,39.5,4.4,16.8,3.4,0.57,2.7,0.4,2.8,0.6,1.7,0.26,1.8,0.28,5.6,0.9,217,0.3,< 5,< 0.4,6.4,2
42_3_PFM_Bhs1,42_3_PFM_Bhs1,65.64,8.78,4.5,0.138,0.31,0.78,1.27,2.02,0.529,0.6,14.79,99.35,6,4,50,339,71,20,230,40,15,< 20,10,50,16,2,6,77,7,2,0.9,< 0.2,3,< 0.5,5.1,24.1,51.6,5.68,20.9,4.3,0.8,3.8,0.6,3.8,0.8,2.3,0.34,2.4,0.38,5.6,1.4,122,0.4,20,< 0.4,8.4,2.8
42_3_PFM_Bhs2,42_3_PFM_Bhs2,65.29,10.05,4.11,0.228,0.3,0.75,1.34,1.96,0.595,0.5,14.58,99.7,7,3,51,355,78,25,290,50,54,< 20,10,< 30,15,1,< 5,76,8,< 2,0.9,< 0.2,3,< 0.5,5.5,24.7,52.4,5.84,22.5,4.6,0.88,4.1,0.7,4.5,1,2.8,0.43,2.7,0.42,6.6,1.3,255,0.4,13,< 0.4,8.9,3
42_3_PFM_Bhs3,42_3_PFM_Bhs3,63.13,10.41,4.42,0.172,0.34,0.78,1.26,1.85,0.567,0.57,16.3,99.8,6,3,55,336,79,26,271,50,16,< 20,< 10,< 30,16,2,5,76,8,2,0.9,< 0.2,3,< 0.5,5.4,24.2,50.8,5.67,22,4.4,0.94,3.9,0.7,4.6,1,2.9,0.44,3.1,0.5,6.9,1.4,141,0.3,7,< 0.4,8.8,3
42_3_PFM_BC,42_3_PFM_BC,57.29,11.65,5.44,0.151,0.51,0.92,1.47,1.9,0.518,0.74,19.92,100.5,7,7,58,336,82,22,178,40,14,< 20,10,< 30,16,1,7,73,6,2,0.6,< 0.2,3,< 0.5,4.8,24.1,52.1,5.49,21.6,4.4,0.93,3.9,0.7,4,0.8,2.3,0.35,2.4,0.39,4.3,1.3,106,0.3,< 5,< 0.4,7.9,2.7
42_4_PFM_E,42_4_PFM_E,76.92,8.88,2.25,0.053,0.21,0.81,1.59,2.42,0.522,0.08,5.07,98.82,6,3,46,404,79,24,233,30,24,< 20,< 10,< 30,14,2,< 5,83,6,< 2,0.8,< 0.2,4,< 0.5,4.2,21.3,45.2,5.21,19.8,4,0.74,3.6,0.6,3.8,0.8,2.5,0.4,2.8,0.47,5.3,1.7,333,0.4,27,< 0.4,7,2
42_4_PFM_Bhs1,42_4_PFM_Bhs1,62.83,8.48,5.49,0.056,0.32,0.8,1.39,2.01,0.567,0.18,16.29,98.43,6,3,65,362,74,22,180,50,14,< 20,< 10,< 30,19,2,8,82,6,2,0.7,< 0.2,3,< 0.5,4.7,21.2,45.2,5,18.8,4.1,0.69,3.4,0.6,3.8,0.8,2.5,0.38,2.6,0.4,4.6,1.4,183,0.3,15,< 0.4,7.2,2
42_4_PFM_Bhs2,42_4_PFM_Bhs2,64.07,10.55,4.55,0.063,0.47,0.87,1.73,2.06,0.57,0.17,15.37,100.5,7,3,56,386,89,23,246,50,12,< 20,< 10,< 30,15,1,6,74,7,< 2,0.9,< 0.2,3,< 0.5,4.6,21.8,46.5,5.25,19.9,4.2,0.8,3.9,0.6,3.9,0.8,2.4,0.36,2.3,0.38,5.9,1.4,120,0.3,8,< 0.4,8.1,2.2
42_4_PFM_Bh,42_4_PFM_Bh,69.23,11.13,3.68,0.073,0.52,1.15,1.83,2.09,0.439,0.18,9.74,100.1,7,5,47,372,91,26,195,40,15,< 20,< 10,< 30,13,1,6,82,5,< 2,0.6,< 0.2,2,< 0.5,4.1,21,48.5,5.02,19,4.1,0.86,3.7,0.7,4.5,0.9,2.8,0.42,2.7,0.43,4.9,1,67,0.3,11,< 0.4,7.6,2.2
42_4_PFM_BC,42_4_PFM_BC,72.74,10.84,3.09,0.07,0.53,1.25,1.95,2.19,0.4,0.18,6.85,100.1,7,4,40,375,91,27,214,40,20,< 20,< 10,50,14,2,6,90,4,< 2,0.8,< 0.2,4,0.9,4.2,24.4,58.4,5.92,22.9,4.7,0.94,4.6,0.7,4.7,1,2.8,0.43,2.9,0.48,5.4,1.3,133,0.4,19,< 0.4,8.7,2.2
