ID,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
31,86_2_PFM,Oa,NA,6/3/21 15:54,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.706062183,31.86106333,2.207357181,13.05445019,8.996529718,1.405129183,4.542141606,4.966227843,0.537521108,VT,159.3053166,0.79493671,7.025645914,0.030559573,44.98264859,0.37022756,65.27225095,0.166936703,22.71070803,0.252528258,11.0367859,24.83113921,2.68760554,1.362660547
33,86_2_PFM,E,NA,6/3/21 16:01,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.786306661,0.655048007,0.030406132,0.401181694,0.108021971,0.189606678,1.899739832,0.031462441,0.014334821,VT,3.275240037,0.016343513,0.948033392,0.004123677,0.540109855,0.004445349,2.005908471,0.005130201,9.498699158,0.105619338,0.15203066,0.157312207,0.071674103,0.03004274
34,86_3_PFM,Oa,NA,6/3/21 16:05,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.920509227,6.00797875,1.120793971,10.50068128,2.995499377,1.157573364,77.62824019,1.010760622,0.325935312,VT,30.03989375,0.149899669,5.787866822,0.025175584,14.97749689,0.123271579,52.50340642,0.134279812,388.1412009,4.315876956,5.603969854,5.053803112,1.629676558,0.432626645
35,86_3_PFM,Bhs1,NA,6/3/21 16:08,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.670007594,5.035193433,1.694807372,9.880152879,3.009939707,1.261963992,118.1935387,1.999127455,0.188907878,VT,25.17596717,0.125628579,6.309819959,0.027445933,15.04969853,0.123865832,49.40076439,0.126344666,590.9676935,6.571175243,8.47403686,9.995637273,0.944539389,0.403285009
36,86_3_PFM,Bhs2,NA,6/3/21 16:12,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.84036124,2.304734924,0.358232427,1.717699499,0.444313533,0.502580935,67.8839696,2.533770808,0.056838853,VT,11.52367462,0.057503366,2.512904677,0.010930425,2.221567664,0.018284508,8.588497496,0.021965467,339.419848,3.774127294,1.791162135,12.66885404,0.284194265,0.108683765
37,86_3_PFM,C,NA,6/3/21 16:19,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.75460374,0.747093109,0.162282761,0.514182318,0.098571053,0.159378199,25.21835008,2.974935312,0.040674451,VT,3.735465544,0.018640048,0.796890997,0.003466251,0.492855265,0.004056422,2.57091159,0.006575221,126.0917504,1.40205801,0.811413807,14.87467656,0.203372256,0.032737942
38,86_4_PFM,Oa,NA,6/3/21 16:22,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.822508651,24.37555119,0.463700164,13.06412998,5.105420111,1.293919215,33.14330289,0.409267982,0.636005037,VT,121.8777559,0.608172435,6.469596076,0.028140914,25.52710055,0.210099593,65.3206499,0.167060486,165.7165145,1.842659538,2.31850082,2.046339909,3.180025186,1.013473427
39,86_4_PFM,E,NA,6/3/21 16:26,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.743102421,4.189334302,0.220368641,1.48707623,0.586390232,0.237936951,3.145411185,0.425524293,0.091920897,VT,20.94667151,0.104524309,1.189684757,0.005174792,2.931951159,0.024131285,7.43538115,0.01901632,15.72705592,0.174874603,1.101843205,2.127621463,0.459604484,0.152846707
40,86_4_PFM,Bhs,NA,6/3/21 16:29,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.790495958,7.762571601,0.745253813,4.097340055,1.651784735,0.482798429,30.53728269,38.15356973,0.15876396,VT,38.81285801,0.193676936,2.413992144,0.010500183,8.258923675,0.06797468,20.48670028,0.052395653,152.6864135,1.697773315,3.726269067,190.7678486,0.7938198,0.324547453
41,86_4_PFM,Bs,NA,6/3/21 16:33,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.57719587,2.330829715,0.244655611,1.10664601,0.389141856,0.326378552,81.6196173,3.383008007,0.055283349,VT,11.65414858,0.058154434,1.631892762,0.007098272,1.945709282,0.016014068,5.533230048,0.014151483,408.0980865,4.537784505,1.223278056,16.91504003,0.276416743,0.095418258
