"","Lab_id","pedon","horizon","Mn_mgL","Fe_mgL","Ca_mgL","K_mgL","Na_mgL","Mg_mgL","P_mgL","S_mgL","Ca_mgKg","Na_mgKg","Mg_mgKg","K_mgKg","P_mgKg"
"60","60","52_2_X2.1","E1.2",-99.99,3.144,0.683,0.927,0.095,-99.99,0.964,0.893,6.83,0.95,-999.9,9.27,9.64
"61","61","52_2_X2.1","E2",-99.99,2.154,0.492,0.161,-99.99,-99.99,0.716,0.525,4.92,-999.9,-999.9,1.61,7.16
"62","62","42_2_V2.1","Oa",55.906,7.738,8.064,12.831,2.086,2.39,4.606,4.845,80.64,20.86,23.9,128.31,46.06
"63","63","42_2_V2.1","E1",2.308,2.622,0.99,1.565,-99.99,-99.99,1.233,1.073,9.9,-999.9,-999.9,15.65,12.33
"64","Blank",NA,NA,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.304,0.311,-999.9,-999.9,-999.9,-999.9,3.04
"65","65","42_2_V2.1","E2",-99.99,2.702,0.436,0.419,-99.99,-99.99,1.115,0.707,4.36,-999.9,-999.9,4.19,11.15
"66","66","42_2_V2.1","E3",0.131,5.32,0.394,0.521,-99.99,-99.99,1.492,0.856,3.94,-999.9,-999.9,5.21,14.92
"67","67","42_2_V2.1","E4",-99.99,4.357,0.396,0.405,-99.99,-99.99,1.376,0.814,3.96,-999.9,-999.9,4.05,13.76
"68","68","86_3_W3.2","Oa",2.861,0.854,59.977,26.373,1.726,29.057,2.776,6.38,599.77,17.26,290.57,263.73,27.76
"69","69","86_3_W3.2","A",-99.99,22.393,8.811,6.318,0.46,3.17,1.2,2.174,88.11,4.6,31.7,63.18,12
"70","70","86_3_W3.2","Bhs1",-99.99,32.466,4.014,5.506,0.35,0.8,1.132,2.537,40.14,3.5,8,55.06,11.32
"71","71","86_3_W3.2","Bhs2.1",-99.99,18.811,2.547,2.681,0.109,-99.99,0.87,1.949,25.47,1.09,-999.9,26.81,8.7
"72","72","86_3_W3.2","Bhs2.2",-99.99,40.426,3.09,4.152,0.191,-99.99,1.409,3.309,30.9,1.91,-999.9,41.52,14.09
"73","73","86_3_W3.2","Bhs3.1",-99.99,26.51,1.502,1.513,-99.99,-99.99,0.876,1.74,15.02,-999.9,-999.9,15.13,8.76
"74","74","86_3_W3.2","Bhs3.2",-99.99,29.1,1.515,1.398,-99.99,-99.99,0.972,1.832,15.15,-999.9,-999.9,13.98,9.72
"75","Blank",NA,NA,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.304,0.343,-999.9,-999.9,-999.9,-999.9,3.04
"76","76","86_4_W4.1","Oa",2.222,0.881,85.886,21.956,1.205,30.208,7.107,9.343,858.86,12.05,302.08,219.56,71.07
"77","77","86_4_W4.1","E",-99.99,1.083,4.142,0.928,0.208,-99.99,0.586,0.906,41.42,2.08,-999.9,9.28,5.86
"78","78","86_4_W4.1","Bhs",-99.99,55.422,9.409,1.914,0.371,-99.99,0.671,2.221,94.09,3.71,-999.9,19.14,6.71
"79","79","86_4_W4.1","Bs1",-99.99,19.456,2.162,1.457,0.153,-99.99,0.741,1.933,21.62,1.53,-999.9,14.57,7.41
"80","80","86_4_W4.1","Bs2",-99.99,8.62,1.859,0.862,0.106,-99.99,0.807,2.126,18.59,1.06,-999.9,8.62,8.07
"81","81","86_4_W4.1","BC1",-99.99,6.604,1.434,1.262,-99.99,-99.99,1.054,2.595,14.34,-999.9,-999.9,12.62,10.54
"82","82","86_4_W4.1","BC2",-99.99,1.731,1.141,0.183,-99.99,-99.99,0.772,1.893,11.41,-999.9,-999.9,1.83,7.72
"83","83","86_4_W4.1","D1",-99.99,4.047,1.114,0.768,0.111,-99.99,1.073,1.939,11.14,1.11,-999.9,7.68,10.73
