Lab_id,pedon,horizon,Mn_mgL,Fe_mgL,Ca_mgL,K_mgL,Na_mgL,Mg_mgL,P_mgL,S_mgL,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,P_mgKg,CEC_cmolKg
121,42_3_V3.1,BC.1,NA,1.351,0.5045,0.133,NA,NA,1.4820833333333332,1.0960833333333333,5.045,0.025174650698602797,NA,NA,NA,NA,1.33,0.00340153452685422,14.820833333333333,0.028576185225457018
122,42_3_V3.1,BC.2,NA,0.987,0.4764999999999999,NA,NA,NA,1.1640833333333334,1.0030833333333333,4.765,0.023777445109780436,NA,NA,NA,NA,NA,NA,11.640833333333333,0.023777445109780436
123,42_3_V3.1,BC.3,NA,0.707,0.3175,NA,NA,NA,0.8130833333333334,0.5680833333333333,3.175,0.015843313373253492,NA,NA,NA,NA,NA,NA,8.130833333333333,0.015843313373253492
124,42_3_V3.1,D.2,NA,0.796,0.3115,0.891,NA,NA,0.13008333333333333,0.5030833333333333,3.115,0.015543912175648706,NA,NA,NA,NA,8.91,0.02278772378516624,1.3008333333333333,0.038331635960814944
125,42_3_V3.1,D.10,0.238,1.873,0.9245,5.148,0.711,NA,0.3860833333333333,0.7780833333333332,9.245,0.04613273453093812,7.11,0.030926489778164423,NA,NA,51.48,0.13166240409207158,3.860833333333333,0.20872162840117414
126,86_2_W2.2,Oa,1.117,0.141,54.7485,29.765,1.946,31.618,2.8620833333333335,6.042083333333333,547.485,2.7319610778443115,19.46,0.08464549804262725,316.18,2.602304526748971,297.65,0.7612531969309462,28.620833333333337,6.180164299566856
127,86_2_W2.2,E.1,NA,0.245,0.49749999999999994,NA,NA,NA,0.5120833333333332,0.25108333333333327,4.975,0.024825349301397202,NA,NA,NA,NA,NA,NA,5.120833333333333,0.024825349301397202
129,86_2_W2.2,E.2,NA,0.58,0.6044999999999999,NA,NA,NA,0.46508333333333335,0.22208333333333335,6.044999999999999,0.03016467065868263,NA,NA,NA,NA,NA,NA,4.650833333333334,0.03016467065868263
130,86_4_W4.1,Bs.3,NA,1.433,1.6185,1.667,0.311,NA,0.23908333333333337,1.4190833333333333,16.185000000000002,0.08076347305389223,3.11,0.013527620704654197,NA,NA,16.67,0.04263427109974425,2.3908333333333336,0.13692536485829068
131,52_4_PFM,Oa,0.527,5.27,4.8505,22.893,3.284,7.496,4.253083333333333,7.817083333333333,48.50500000000001,0.24204091816367274,32.839999999999996,0.14284471509351893,74.96000000000001,0.6169547325102881,228.93000000000004,0.5854987212276216,42.530833333333334,1.5873390869951014
132,99,NA,5.335,6.248,1.0565,4.767,0.244,NA,2.6850833333333335,2.4460833333333336,10.565,0.05271956087824351,2.44,0.010613310134841236,NA,NA,47.67,0.12191815856777492,26.850833333333334,0.18525102958085968
