Lab_id,pedon,horizon,Mn_mgL,Fe_mgL,Ca_mgL,K_mgL,Na_mgL,Mg_mgL,P_mgL,S_mgL,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,P_mgKg,CEC_cmolKg
13,42_4_PFM,Bhs2,NA,15.175,1.4875,4.519,0.395,NA,0.8090833333333334,2.1770833333333335,14.875000000000002,0.07422654690618764,3.95,0.01718138321009135,NA,NA,45.19,0.11557544757033247,8.090833333333334,0.20698337768661146
14,42_4_PFM,Bh,NA,1.367,0.7474999999999999,1.055,0.29,NA,0.31908333333333333,1.2780833333333332,7.475,0.03730039920159681,2.9,0.012614180078294911,NA,NA,10.549999999999999,0.026982097186700766,3.1908333333333334,0.07689667646659248
15,42_4_PFM,BC,NA,0.556,0.5045,0.423,0.191,NA,0.22808333333333336,0.9050833333333332,5.045,0.025174650698602797,1.9100000000000001,0.008307959982601133,NA,NA,4.2299999999999995,0.010818414322250638,2.2808333333333337,0.044301025003454564
16,42_5_V5.1,Bhs,2.33,0.948,2.5955,4.867,0.737,NA,1.6660833333333334,4.426083333333334,25.955,0.12951596806387225,7.370000000000001,0.03205741626794259,NA,NA,48.67,0.12447570332480817,16.660833333333333,0.286049087656623
17,42_5_V5.1,Bh1,0.281,0.879,1.8535000000000001,1.667,0.491,NA,0.5110833333333333,2.9480833333333334,18.535,0.09249001996007986,4.91,0.0213571117877338,NA,NA,16.67,0.04263427109974425,5.110833333333334,0.1564814028475579
18,42_5_V5.1,Bh2,NA,1.116,1.3865,1.275,0.39,NA,0.33308333333333334,2.2430833333333333,13.865,0.06918662674650698,3.9000000000000004,0.016963897346672467,NA,NA,12.750000000000002,0.03260869565217392,3.3308333333333335,0.11875921974535336
19,52_2_PFM,E,0.241,8.025,2.2325,3.953,0.474,NA,1.5030833333333333,1.4620833333333332,22.325000000000003,0.11140219560878246,4.74,0.020617659852109615,NA,NA,39.53,0.1010997442455243,15.030833333333334,0.23311959970641638
20,52_3_PFM,Oa,0.483,5.446,4.8745,22.235,3.817,7.165,4.092083333333333,8.009083333333333,48.745000000000005,0.24323852295409182,38.17,0.1660287081339713,71.65,0.5897119341563786,222.35,0.5686700767263427,40.920833333333334,1.5676492419707844
22,52_3_PFM,Bhs1,NA,6.951,2.2455,6.043,0.859,1.128,1.7870833333333331,2.5690833333333334,22.455,0.11205089820359282,8.59,0.0373640713353632,11.28,0.09283950617283951,60.43,0.15455242966751917,17.87083333333333,0.3968069053793147
23,52_3_PFM,Bhs2,NA,4.21,0.9234999999999999,0.877,0.307,NA,0.7320833333333332,0.6440833333333333,9.235,0.04608283433133732,3.07,0.013353632013919096,NA,NA,8.77,0.022429667519181583,7.320833333333332,0.081866133864438
24,52_4_PFM,Bh1,0.354,3.522,2.1904999999999997,4.516,0.679,NA,0.8220833333333333,2.6510833333333337,21.904999999999998,0.10930638722554889,6.790000000000001,0.02953458025228361,NA,NA,45.16,0.11549872122762148,8.220833333333333,0.254339688705454
25,52_4_PFM,Bh2,NA,1.943,1.5005000000000002,2.254,0.799,NA,0.5670833333333334,2.1340833333333333,15.005000000000003,0.07487524950099803,7.99,0.03475424097433667,NA,NA,22.540000000000003,0.05764705882352942,5.670833333333334,0.16727654929886412
26,52_4_X4.2,Oa,0.449,0.448,11.3645,34.899,2.514,20.706,12.119083333333334,11.253083333333333,113.645,0.5670908183632735,25.14,0.10935189212701175,207.06,1.7041975308641977,348.99,0.8925575447570333,121.19083333333334,3.273197786111516
27,52_4_X4.2,E,NA,0.112,0.3165,0.305,0.165,NA,0.22108333333333335,0.25208333333333327,3.1650000000000005,0.0157934131736527,1.6500000000000001,0.0071770334928229675,NA,NA,3.05,0.007800511508951407,2.2108333333333334,0.030770958175427073
28,52_4_X4.2,Bhs,NA,16.87,0.8554999999999999,2.691,0.773,NA,0.3110833333333333,1.3280833333333333,8.555,0.04268962075848303,7.73,0.033623314484558506,NA,NA,26.909999999999997,0.0688235294117647,3.1108333333333333,0.14513646465480623
29,52_4_X4.2,Bs,NA,0.48,0.5345,0.229,0.267,NA,0.1630833333333333,1.2290833333333333,5.345,0.02667165668662675,2.67,0.011613745106568074,NA,NA,2.29,0.005856777493606137,1.630833333333333,0.04414217928680096
30,52_4_X4.2,Cd,NA,0.421,0.2285,NA,0.154,NA,0.08408333333333334,0.6330833333333332,2.285,0.011402195608782436,1.54,0.0066985645933014355,NA,NA,NA,NA,0.8408333333333334,0.01810076020208387
31,86_2_PFM,Oa,NA,5.079,33.5955,12.962,1.27,14.461,2.1190833333333337,6.709083333333333,335.95500000000004,1.676422155688623,12.7,0.055241409308394954,144.61,1.1902057613168726,129.62,0.3315089514066496,21.19083333333334,3.25337827772054
33,86_2_PFM,E,NA,NA,0.6805,NA,NA,NA,0.04408333333333331,0.0950833333333333,6.805000000000001,0.03395708582834332,NA,NA,NA,NA,NA,NA,0.4408333333333331,0.03395708582834332
34,86_3_PFM,Oa,NA,1.07,6.5365,10.367,1.038,2.567,1.2490833333333333,5.318083333333333,65.36500000000001,0.32617265469061885,10.38,0.04515006524575903,25.67,0.21127572016460908,103.67000000000002,0.26514066496163685,12.490833333333333,0.8477391050626238
35,86_3_PFM,Bhs1,NA,1.943,5.1245,9.096,1.049,2.33,1.7500833333333332,4.164083333333333,51.245000000000005,0.25571357285429147,10.489999999999998,0.04562853414528055,23.3,0.19176954732510287,90.96000000000001,0.23263427109974427,17.500833333333333,0.7257459254244192
