...1,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,CEC_cmolKg
22,52_4_X4.2,E,NA,6/3/21 15:39,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.755572267,0.364670764,-0.006044996,1.359862615,0.290903334,0.075960162,6.086147953,0.178199909,0.014714124,VT,3.646707644,0.018197144,0.759601623,0.003304052,2.909033336,0.023942661,13.59862615,0.034779095,60.86147953,0.67673995,-0.060449962,0.080222952
23,52_4_X4.2,Bhs,NA,6/3/21 15:43,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.729231929,0.86184797,0.081035478,3.706099222,0.827925207,0.728850421,50.01021028,17.64488732,0.072365308,VT,8.618479702,0.043006386,7.288504205,0.031702933,8.27925207,0.068141992,37.06099222,0.094785146,500.1021028,5.560809149,0.81035478,0.237636457
24,52_4_X4.2,Bs,NA,6/3/21 15:46,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.945124438,0.560054851,-0.066032821,1.310836736,0.236123724,0.19729127,48.57500829,0.57086132,0.012215397,VT,5.600548512,0.027946849,1.972912703,0.008581612,2.361237245,0.019434051,13.10836736,0.033525236,485.7500829,5.40122405,-0.660328215,0.089487749
25,52_4_X4.2,Cd,NA,6/3/21 15:50,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.805168286,0.272625284,-0.1166772,1.047437059,0.171208501,0.065331482,17.51383538,0.504711565,0.003796693,VT,2.72625284,0.013604056,0.653314817,0.002841735,1.712085009,0.014091235,10.47437059,0.026788672,175.1383538,1.947424245,-1.166772003,0.057325697
26,86_2_PFM,Oa,NA,6/3/21 15:54,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.706062183,31.9448317,2.014205055,13.61976202,9.129233165,1.345578489,5.804391872,4.968815777,0.533927705,VT,319.448317,1.594053478,13.45578489,0.05852886,91.29233165,0.751377215,136.1976202,0.34833151,58.04391872,0.645410512,20.14205055,2.752291062
28,86_2_PFM,E,NA,6/3/21 16:01,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.786306661,0.738816374,-0.162745993,0.966493527,0.240725418,0.130055984,3.161990097,0.034050376,0.010741418,VT,7.388163743,0.036867085,1.300559843,0.005657068,2.407254183,0.019812792,9.66493527,0.024718505,31.61990097,0.351592672,-1.627459933,0.087055448
29,86_3_PFM,Oa,NA,6/3/21 16:05,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.920509227,6.091747117,0.927641845,11.06599312,3.128202824,1.09802267,78.89049045,1.013348557,0.322341908,VT,60.91747117,0.303979397,10.9802267,0.047760882,31.28202824,0.257465253,110.6599312,0.283017727,788.9049045,8.772107908,9.276418454,0.892223259
30,86_3_PFM,Bhs1,NA,6/3/21 16:08,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.670007594,5.1189618,1.501655247,10.44546471,3.142643154,1.202413298,119.455789,2.001715389,0.185314475,VT,51.189618,0.255437216,12.02413298,0.052301579,31.42643154,0.258653758,104.4546471,0.267147435,1194.55789,13.28270448,15.01655247,0.833539987
31,86_3_PFM,Bhs2,NA,6/3/21 16:12,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.84036124,2.38850329,0.165080302,2.283011332,0.57701698,0.443030241,69.14621987,2.536358742,0.05324545,VT,23.8850329,0.119186791,4.430302414,0.019270563,5.7701698,0.047491109,22.83011332,0.058389037,691.4621987,7.688608584,1.650803015,0.2443375
33,86_3_PFM,C,NA,6/3/21 16:19,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.75460374,0.830861476,-0.030869364,1.079494151,0.2312745,0.099827505,26.48060034,2.977523246,0.037081048,VT,8.308614756,0.041460153,0.998275053,0.004342214,2.312745001,0.019034938,10.79494151,0.027608546,264.8060034,2.944470016,-0.308693639,0.092445852
