,Name,Si,Al,Fe,Mn,Mg,Ca,Na,K,Ti,P,Ba,Sr,Y,Zr,Co,Ga,Rb,Sn,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Dy,Er,Yb,Lu,Th,U
102,V4.1_RF5,335526.0726,70868.07307,32103.87193,518.8894368,5186.160185,8290.472034,16246.82554,31628.72338,3038.698928,1047.428897,301,84,24,149,25,18,191,11,16.7,26.1,55,6.47,24.7,5.3,0.95,4.8,4.5,2.4,2.2,0.36,8.4,2.2
103,V4.1_RF6,343379.0094,72667.56111,16926.22442,317.5293569,2050.342399,7647.245756,21662.43406,41922.58611,1198.697802,392.7858363,343,63,32,93,32,18,241,6,9.4,31.5,67.7,7.68,28.5,6.5,0.74,5.8,5.8,3.1,3,0.46,17,2.8
104,V4.1_RF7,376146.323,43399.41742,30984.78271,588.591003,6452.548137,2001.148422,5638.167768,15689.83916,2757.004945,349.1429656,266,28,16,158,33,11,85,2,2,18.2,67.9,4.92,18.7,4,0.85,3.3,3.3,1.9,1.9,0.31,7.1,1.4
105,V4.1_RF8,327486.1611,82194.2625,19164.40285,371.7416861,2593.080093,6932.549891,22033.36615,49227.90805,1576.28761,392.7858363,594,90,32,142,45,20,285,9,13.3,52.2,107,12.8,46.5,9.8,1.09,8,6.2,3.1,2.8,0.44,25,4.7
106,X4.1_RF1,331085.4238,73990.71408,34901.59497,565.3571476,6151.027196,6861.080304,13205.1824,34949.32426,3871.7939,916.5002847,389,91,25,192,32,20,200,7,12.4,31.9,67.6,7.81,30.2,6.4,1.11,5.4,4.9,2.5,2.3,0.37,9.6,1.9
107,X4.1_RF2,321830.1769,75366.79317,34621.82267,526.6340553,6151.027196,13007.46474,18546.6045,33455.05387,3787.885054,611.0001898,523,115,25,230,31,21,169,5,10.5,8,23.3,2.17,8.5,2.3,0.76,2.7,3.9,2.7,2.8,0.45,7.6,1.4
108,X4.1_RF3,342537.6233,69121.51115,23710.7028,317.5293569,4703.72668,4288.17519,14317.97867,40262.28567,2697.070055,611.0001898,441,94,29,148,61,19,187,4,7.4,45.5,98.8,11.4,42,9.7,1.03,7.9,5.7,2.7,2.3,0.38,19.5,3.7
109,X4.1_RF4,338985.1043,82353.04085,13708.84292,170.3816061,2351.86334,3502.009739,17656.36748,42503.69126,1845.994615,523.7144484,208,54,31,130,65,25,245,14,8.9,36.4,76.9,9,33.3,7.6,0.61,6.1,5.6,2.9,2.7,0.42,15.9,3.2
110,X4.1_RF5,333703.0694,82564.74533,6644.59223,170.3816061,1206.083764,5288.749401,20030.33286,59853.83086,575.374945,611.0001898,594,112,10,61,65,15,243,5,21.3,13,28.8,3.1,11.8,2.6,1.13,2.2,1.8,0.8,0.9,0.14,6.3,1.7
111,X4.1_RF6,222733.5937,84893.49456,103935.4111,1246.883572,27619.3182,25085.82486,18398.23166,8218.487178,20719.49151,1920.286311,385,412,28,283,59,25,48,3,9.9,30.7,64.7,7.92,34.5,7.2,2.19,7,5.8,3.2,2.8,0.44,4.2,1.1
112,X4.1_RF7,311453.0819,80976.96176,43784.36564,611.8248583,7839.544466,12578.64722,18249.85883,27810.03237,4543.06467,916.5002847,507,136,21,238,23,22,166,4,11.9,32.2,70.8,7.91,30.9,6.3,1.27,5.2,4.4,2.2,1.9,0.31,10.5,1.9
113,X4.1_RF8,326411.0567,77801.39464,30005.57965,449.1878707,5970.114632,7075.489064,16246.82554,32043.79849,3380.327802,960.1431554,398,103,22,196,36,20,163,8,6.4,34,70,8.41,32.2,6.7,1.07,5.7,4.6,2.3,2,0.31,10,3
114,X4.1_RF9,257510.8852,78754.06477,91345.65739,1564.412929,11819.62089,29588.40881,16024.26629,26398.777,16416.1664,2487.64363,883,330,56,476,29,26,131,2,13.8,73.5,150,18,70.8,14.7,3.54,13.1,11.5,5.8,4.8,0.74,14.1,1.7
115,X4.1_RF10,309443.104,80553.55281,48540.49481,735.7387537,8623.498913,11220.72508,16098.45271,33870.12898,5052.511235,960.1431554,540,113,35,265,54,21,200,4,14.4,44.8,94.2,11.1,42.5,9.3,1.57,8,6.8,3.3,3,0.45,14.3,3.1
116,W3.2_RF9,290745.6355,88598.32287,66375.97922,1006.8004,15498.17637,5288.749401,8308.878816,29553.34783,6035.443433,523.7144484,512,93,25,229,13,26,169,3,10.2,48.5,97.6,11.5,44,8.6,1.45,6.7,4.8,2.6,2.2,0.36,14.2,4.5
117,W3.2_RF1,320988.7908,79865.51327,40636.92721,1006.8004,7055.590019,1715.270076,15208.21569,34451.23413,4495.116758,741.9288019,555,57,28,236,9,20,194,9,4.7,36.2,75.5,8.99,33.5,6.8,1.13,5.8,5.2,2.8,2.6,0.37,12.5,2.4
118,W3.2_RF2,305002.4552,82617.67145,46232.3733,720.2495168,8925.019854,11149.25549,16395.19838,30632.54312,5525.996867,829.2145433,560,121,35,259,10,23,222,6,40.2,49.6,105,12.1,47.1,9.3,1.55,7.9,6.9,3.9,3.6,0.55,16.3,3.3
119,W3.2_RF8,339452.541,70021.25517,17066.11057,379.4863045,2110.646587,6503.732372,19659.40077,43084.79642,1282.606648,349.1429656,311,52,30,81,23,20,276,5,11.8,28.3,60.1,7.19,26.8,5.9,0.67,5.4,6,3.5,3.5,0.53,16,3.5
