pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,ID,pH,C_pct,N_pct,CNRatio,om_pct,om,bd,Ca_cmolKg,Na_cmolKg,Mg_cmolKg,K_cmolKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
42_3_V3.1,Bhs2,1,Bhs2.1,21,28,7,7.5YR2.5/3,7.5YR,2.5,3,0,NA,NA,NA,sl,2msbk,fr,gw,5,c,Y,Y,42_3_V3.1 Bhs2.1,4.07,3.82728,0.22659,16.89078,6.59823,0.06598,0.80737,0.02,0.006,0.027,0.034,1.64,11.1,16.275,14.216,0.087
42_3_V3.1,Bhs2,2,Bhs2.2,28,35,7,7.5YR2.5/3,7.5YR,2.5,3,0,NA,NA,NA,sl,2msbk,fr,gw,5,c,Y,Y,42_3_V3.1 Bhs2.2,NA,5.02151,0.26269,19.11574,8.65708,0.08657,0.70929,0.023,0.007,0.021,0.027,2.17,11.53,11.629,12.658,0.078
42_3_V3.1,Bhs3,1,Bhs3.1,35,45,10,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,ls,2mabk,fr,gs,10,f,Y,Y,42_3_V3.1 Bhs3.1,4.35,4.28312,0.21292,20.11569,7.38409,0.07384,0.76689,0.022,0.006,0.016,0.019,2.176,11.421,12.947,8.782,0.062
42_3_V3.1,Bhs3,2,Bhs3.2,45,55,10,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,ls,2mabk,fr,gs,10,f,Y,Y,42_3_V3.1 Bhs3.2,4.27,3.37,0.15944,21.13685,5.80988,0.0581,0.85251999999999994,0.017,0.005,0.011,0.012,1.498,8.466,9.7,5.541,0.045
42_3_V3.1,Bhs3,3,Bhs3.3,55,62,7,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,ls,2mabk,fr,gs,10,f,Y,Y,42_3_V3.1 Bhs3.3,4.25,2.66654,0.12496,21.33958,4.59712,0.04597,0.93274,0.015,0.004,0.007,0.009,1.299,8.598,10.367,4.273,0.036
42_3_V3.1,BC,1,BC.1,62,67,5,10YR4/4,10YR,4,4,7.5Y2.5/3,NA,NA,gr,ls,1mabk,vfr,cs,25,f,Y,Y,42_3_V3.1 BC.1,4.3,1.99099,0.09045,22.0115,3.43247,0.03432,1.02542,0.013,0.003,0.006,0.009,1.205,7.724,9.168,3.382,0.031
42_3_V3.1,BC,2,BC.2,67,77,10,10YR4/4,10YR,4,4,7.5Y2.5/3,NA,NA,gr,ls,1mabk,vfr,cs,25,f,Y,Y,42_3_V3.1 BC.2,4.27,1.86411,0.08533,21.84583,3.21373,0.03214,1.04491,0.013,0.004,0.006,0.01,1.256,6.618,7.009,2.175,0.033
42_3_V3.1,BC,3,BC.3,77,82,5,10YR4/4,10YR,4,4,7.5Y2.5/3,NA,NA,gr,ls,1mabk,vfr,cs,25,f,Y,Y,42_3_V3.1 BC.3,4.28,1.12863,0.04639,24.33004,1.94576,0.01946,1.17436,0.008,0.002,0.002,0.006,0.921,4.062,4.732,0.738,0.018
42_3_V3.1,C,1,C.1,82,87,5,2.5Y4/3,2.5Y,4,3,10YR4/3,NA,NA,gr,ls,1mabk,vfr,gs,20,f,Y,NA,42_3_V3.1 C.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,C,2,C.2,87,93,6,2.5Y4/3,2.5Y,4,3,10YR4/3,NA,NA,gr,ls,1mabk,vfr,gs,20,f,Y,NA,42_3_V3.1 C.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
