pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,ID,pH,C_pct,N_pct,CNRatio,om_pct,om,bd,Ca_cmolKg,Na_cmolKg,Mg_cmolKg,K_cmolKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
52_4_X4.1,D,14,D.14,220,230,10,2.5Y5/2,2.5Y,5,2,0,NA,NA,NA,ls,NA,NA,NA,NA,NA,Y,NA,52_4_X4.1 D.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,D,15,D.15,230,262,32,2.5Y6/2,2.5Y,6,2,0,NA,NA,NA,fsl,NA,NA,NA,NA,NA,Y,NA,52_4_X4.1 D.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,D,16,D.16,262,291,29,2.5Y6/2,2.5Y,6,2,0,NA,NA,NA,fsl,NA,NA,NA,NA,NA,Y,Y,52_4_X4.1 D.16,4.89,0.04928,0.00628,7.85162,0.08496,8.5e-4,1.43529,0.419,0.02,0.117,0.027,0.076,0.896,2.397,3.253,0.583
52_4_X4.2,Oi,NA,Oi,0,4,4,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,52_4_X4.2 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.2,Oe,NA,Oe,4,8,4,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,52_4_X4.2 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.2,Oa,NA,Oa,8,16,8,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,1mgr,NA,as,0,c,Y,NA,52_4_X4.2 Oa,NA,NA,NA,NA,NA,NA,NA,0.256,0.048,0.491,0.435,0.087,54.597,1.157,5.225,1.229
52_4_X4.2,E,NA,E,16,25,9,7.5YR6/1,7.5YR,6,1,7.5YR4/1,NA,NA,NA,ls,2msbk,fr,as,2,f,Y,NA,52_4_X4.2 E,3.09,NA,NA,NA,NA,NA,NA,0.007,0.003,0.007,0.01,0.268,0.936,0.878,0.092,0.027
52_4_X4.2,Bhs,NA,Bhs,25,38,13,7.5YR2.5/1,7.5YR,2.5,1,7.5YR3/2,NA,NA,NA,sl,2msbk,fr,cs,2,f,Y,NA,52_4_X4.2 Bhs,3.55,NA,NA,NA,NA,NA,NA,0.019,0.017,0.029,0.04,2.71,1.371,88.211,0.38,0.105
52_4_X4.2,Bs,NA,Bs,38,58,20,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,sl,1msbk,fr,cs,5,f,Y,NA,52_4_X4.2 Bs,4.01,NA,NA,NA,NA,NA,NA,0.012,0.006,0.004,0.01,2.63,0.636,2.841,0.079,0.031
52_4_X4.2,Cd,NA,Cd,58,62,4,2.5Y6/3,2.5Y,6,3,0,NA,NA,NA,sl,1msbk,fr,NA,8,NA,?,NA,52_4_X4.2 Cd,4.21,NA,NA,NA,NA,NA,NA,0.005,0.003,0.002,0.006,0.904,0.382,2.511,0.037,0.015
52_4_X4.3,Oi,NA,Oi,0,3,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,N,NA,52_4_X4.3 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.3,Oe,NA,Oe,3,5,2,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,N,NA,52_4_X4.3 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.3,Oa,NA,Oa,5,8,3,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,1mgr,NA,cs,0,c,N,NA,52_4_X4.3 Oa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.3,Bhs1,NA,Bhs1,8,12,4,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,sl,2msbk,fr,cs,0,c,N,NA,52_4_X4.3 Bhs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.3,Bhs2,NA,Bhs2,12,25,13,10YR2/2,10YR,2,2,7.5YR2.5/2,NA,NA,NA,sl,2msbk,fr,cs,2,f,N,NA,52_4_X4.3 Bhs2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.3,Bhs3,NA,Bhs3,25,35,10,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,1msbk,fr,NA,2,f,N,NA,52_4_X4.3 Bhs3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_5_X5.1,Oi,NA,Oi,0,3,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,52_5_X5.1 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_5_X5.1,Oe,NA,Oe,3,6,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,52_5_X5.1 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_5_X5.1,Oa,NA,Oa,6,10,4,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,2mgr,NA,cs,0,c,Y,NA,52_5_X5.1 Oa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_5_X5.1,Bhs,NA,Bhs,10,18,8,7.5YR2.5/1,7.5YR,2.5,1,0,NA,NA,NA,sl,2msbk,fr,cs,2,f,Y,NA,52_5_X5.1 Bhs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_5_X5.1,Bh,NA,Bh,18,44,26,10YR3/1,10YR,3,1,0,NA,NA,NA,sl,2msbk,fr,NA,5,f,Y,NA,52_5_X5.1 Bh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_1_PFM,O,NA,O,NA,NA,0,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,N,NA,86_1_PFM O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_1_W1.1,O,NA,O,0,17.5,17.5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,N,NA,86_1_W1.1 O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_1_W1.1,R,NA,R,17.5,17.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,86_1_W1.1 R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_2_PFM,Oi,NA,Oi,0,4,4,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,m,?,NA,86_2_PFM Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_2_PFM,Oe,NA,Oe,4,12,8,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,c,?,NA,86_2_PFM Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_2_PFM,Oa,NA,Oa,12,19,7,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,c,Y,Y,86_2_PFM Oa,NA,30.14081,1.85874,16.21574,51.96276,0.51963,0.1995,0.795,0.031,0.37,0.167,0.253,11.037,24.831,2.688,1.363
86_2_PFM,E,NA,E,19,23,4,10YR4/2,10YR,4,2,NA,NA,NA,NA,ls,1msbk,fr,as,3,f,Y,Y,86_2_PFM E,NA,0.47783,0.01213,39.38271,0.82377,0.00824,1.31893,0.016,0.004,0.004,0.005,0.106,0.152,0.157,0.072,0.03
86_2_PFM,R,NA,R,23,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,N,NA,86_2_PFM R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_2_W2.1,Oi,NA,Oi,0,3,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,86_2_W2.1 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_2_W2.1,Oe,NA,Oe,3,6,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,m,Y,NA,86_2_W2.1 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_2_W2.1,Oa,NA,Oa,6,14,8,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,1mgr,lo,ai,0,c,Y,NA,86_2_W2.1 Oa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_2_W2.1,E,1,E.1,14,21,7,10YR5/1,10YR,5,1,0,NA,NA,NA,sl,2msbk,fr,NA,1,NA,Y,NA,86_2_W2.1 E.1,NA,NA,NA,NA,NA,NA,NA,0.057,0.091,0.042,0.033,0.798,2.223,12.573,0.718,0.224
86_2_W2.1,E,2,E.2,21,29,8,10YR5/1,10YR,5,1,0,NA,NA,NA,sl,2msbk,fr,NA,1,NA,Y,NA,86_2_W2.1 E.2,NA,NA,NA,NA,NA,NA,NA,0.092,0.138,0.117,0.093,0.764,2.042,13.245,1.35,0.44
86_2_W2.1,R,NA,R,29,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,86_2_W2.1 R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_2_W2.2,Oi,NA,Oi,0,5,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,as,0,c,Y,NA,86_2_W2.2 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_2_W2.2,Oe,NA,Oe,5,11,6,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,as,0,c,Y,NA,86_2_W2.2 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_2_W2.2,Oa,NA,Oa,11,16,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,1mgr,vfr,aw,0,c,Y,Y,86_2_W2.2 Oa,NA,33.98549,1.9629,17.31388,58.59098,0.58591,0.17973,1.418,0.048,0.785,0.379,0.701,14.095,0.873,9.132,2.63
86_2_W2.2,E,1,E.1,16,23,7,7.5YR5/1,7.5YR,5,1,NA,NA,NA,NA,ls,2msbk,fr,vas,2,f,Y,Y,86_2_W2.2 E.1,3.64,0.65872,0.02933,22.45601,1.13564,0.01136,1.27529,0.012,0.003,0.01,0.007,1.042,2.474,1.567,0.047,0.033
86_2_W2.2,E,2,E.2,23,31,8,7.5YR5/1,7.5YR,5,1,NA,NA,NA,NA,ls,2msbk,fr,vas,2,f,Y,Y,86_2_W2.2 E.2,3.65,0.72344,0.03692,19.59507,1.24721,0.01247,1.26037,0.016,0.003,0.01,0.008,1.13,2.387,3.287,0.085,0.036
86_2_W2.2,R,NA,R,31,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,86_2_W2.2 R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_PFM,Oi,NA,Oi,0,3,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,m,?,NA,86_3_PFM Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_PFM,Oe,NA,Oe,3,13,10,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,m,?,NA,86_3_PFM Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_PFM,Oa,NA,Oa,13,30,17,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,2mgr,NA,cs,0,m,Y,Y,86_3_PFM Oa,3.21,25.4651,1.73946,14.63969,43.90183,0.43902,0.23031,0.15,0.025,0.123,0.134,4.316,5.604,5.054,1.63,0.433
86_3_PFM,Bhs1,NA,Bhs1,30,44,14,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,l,2msbk,fr,cw,0,c,Y,Y,86_3_PFM Bhs1,NA,17.80963,1.09577,16.25307,30.7038,0.30704,0.30826,0.126,0.027,0.124,0.126,6.571,8.474,9.996,0.945,0.403
86_3_PFM,Bhs2,NA,Bhs2,44,72,28,7.5YR2.5/3,7.5YR,2.5,3,0,NA,NA,NA,sl,2msbk,fr,cs,5,f,Y,Y,86_3_PFM Bhs2,3.87,6.2801,0.21438,29.29383,10.8269,0.10827,0.62878,0.058,0.011,0.018,0.022,3.774,1.791,12.669,0.284,0.109
86_3_PFM,C,NA,C,72,75,3,7.5YR3/4,7.5YR,3,4,7.5YR4/6,NA,NA,gr,ls,1msbk,fi,NA,25,NA,Y,Y,86_3_PFM C,4.04,1.23904,0.03859,32.10658,2.1361,0.02136,1.15292,0.019,0.003,0.004,0.007,1.402,0.811,14.875,0.203,0.033
86_3_W3.1,Oi,NA,Oi,0,3,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,86_3_W3.1 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_W3.1,Oe,NA,Oe,3,8,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,86_3_W3.1 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_W3.1,Oa,NA,Oa,8,14,6,5YR2.5/1,5YR,2.5,1,5YR3/2,NA,NA,NA,NA,2mgr,NA,cs,0,c,Y,NA,86_3_W3.1 Oa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_W3.1,Bhs1,NA,Bhs1,14,34,20,2.5Y2.5/1,2.5Y,2.5,1,0,NA,NA,NA,sl,2msbk,fr,cs,0,f,Y,NA,86_3_W3.1 Bhs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_W3.1,Bhs2,NA,Bhs2,34,45,11,2.5Y2.5/1,2.5Y,2.5,1,7.5YR3/3,NA,NA,NA,sl,2msbk,fr,cw,2,f,Y,NA,86_3_W3.1 Bhs2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_W3.1,Bhs3,NA,Bhs3,45,52,7,7.5YR2.5/2,7.5YR,2.5,2,7.5YR4/6,NA,NA,NA,sl,2msbk,fr,NA,8,NA,Y,NA,86_3_W3.1 Bhs3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_W3.2,Oi,NA,Oi,0,4,4,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,f,Y,NA,86_3_W3.2 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_W3.2,Oe,NA,Oe,4,7,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,f,Y,NA,86_3_W3.2 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_W3.2,Oa,NA,Oa,7,12,5,5YR2.5/1,5YR,2.5,1,2.5YR2.5/3,NA,NA,NA,NA,1mgr,vfr,cs,0,f,Y,Y,86_3_W3.2 Oa,NA,32.8011,1.86943,17.54606,56.5491,0.56549,0.18539,1.454,0.044,0.709,0.347,0.597,12.23,4.062,16.825,2.555
86_3_W3.2,A,NA,A,12,17,5,5YR3/1,5YR,3,1,NA,NA,NA,NA,sl,2msbk,fr,ci,0,f,Y,Y,86_3_W3.2 A,3.19,10.66489,0.51299,20.78959,18.38627,0.18386,0.4506,0.206,0.014,0.135,0.084,1.6,3.909,106.233,1.716,0.439
86_3_W3.2,Bhs1,NA,Bhs1,17,20,3,5YR2.5/2,5YR,2.5,2,NA,NA,NA,NA,sl,2msbk,fr,cs,0,f,Y,Y,86_3_W3.2 Bhs1,3.38,8.00647,0.39893,20.07007,13.80316,0.13803,0.54407,0.222,0.039,0.182,0.142,3.423,5.229,182.956,1.265,0.585
86_3_W3.2,Bhs2,1,Bhs2.1,20,27,7,7.5YR3/2,7.5YR,3,2,NA,NA,NA,NA,ls,2msbk,fr,aw,0,f,Y,Y,86_3_W3.2 Bhs2.1,3.52,6.00078,0.2832,21.18887,10.34534,0.10345,0.64503,0.055,0.007,0.042,0.037,1.943,2.361,93.565,0.543,0.14
86_3_W3.2,Bhs2,2,Bhs2.2,27,34,7,7.5YR3/2,7.5YR,3,2,NA,NA,NA,NA,ls,2msbk,fr,aw,0,f,Y,Y,86_3_W3.2 Bhs2.2,3.57,5.88271,0.29124,20.19847,10.14179,0.10142,0.65215,0.064,0.009,0.055,0.056,4,4.564,182.231,0.915,0.184
86_3_W3.2,Bhs3,1,Bhs3.1,34,41,7,7.5YR3/3,7.5YR,3,3,NA,NA,NA,gr,ls,2msbk,vfr,ab,2,0,Y,Y,86_3_W3.2 Bhs3.1,3.73,2.38518,0.10407,22.91986,4.11205,0.04112,0.96923,0.032,0.005,0.016,0.025,2.761,2.409,126.905,0.178,0.079
86_3_W3.2,Bhs3,2,Bhs3.2,41,49,8,7.5YR3/3,7.5YR,3,3,NA,NA,NA,gr,ls,2msbk,vfr,ab,2,0,Y,Y,86_3_W3.2 Bhs3.2,3.74,2.41942,0.10986,22.0237,4.17108,0.04171,0.96463,0.035,0.004,0.018,0.02,2.994,2.779,136.543,0.209,0.076
86_3_W3.2,Bhs3,3,Bhs3.3,34,49,15,7.5YR3/3,7.5YR,3,3,NA,NA,NA,gr,ls,2msbk,vfr,ab,2,0,Y,NA,86_3_W3.2 Bhs3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_W3.2,C,NA,C,49,50,1,2.5Y6/3,2.5Y,6,3,NA,NA,NA,NA,s,m,fr,vw,25,0,N,NA,86_3_W3.2 C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_3_W3.2,R,NA,R,50,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,86_3_W3.2 R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_4_PFM,Oi,NA,Oi,0,2,2,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,m,?,NA,86_4_PFM Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_4_PFM,Oe,NA,Oe,2,5,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,m,?,NA,86_4_PFM Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_4_PFM,Oa,NA,Oa,5,10,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,1sbk,fr,as,0,m,Y,Y,86_4_PFM Oa,NA,24.67273,1.00037,24.66357,42.53579,0.42536,0.2365,0.608,0.028,0.21,0.167,1.843,2.319,2.046,3.18,1.013
86_4_PFM,E,NA,E,10,16,6,10YR6/2,10YR,6,2,0,NA,NA,NA,NA,1sbk,fr,ci,0,f,Y,Y,86_4_PFM E,2.97,1.25535,0.06078,20.65265,2.16422,0.02164,1.14982,0.105,0.005,0.024,0.019,0.175,1.102,2.128,0.46,0.153
86_4_PFM,Bhs,NA,Bhs,16,21,5,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,2sbk,fr,ci,5,f,Y,Y,86_4_PFM Bhs,3.18,7.90761,0.3771,20.96961,13.63272,0.13633,0.5483,0.194,0.011,0.068,0.052,1.698,3.726,190.768,0.794,0.325
86_4_PFM,Bs,NA,Bs,21,63,42,7.5YR3/4,7.5YR,3,4,0,NA,NA,NA,NA,2sbk,fr,gs,10,f,Y,Y,86_4_PFM Bs,3.88,6.09752,0.20647,29.53162,10.51212,0.10512,0.63931,0.058,0.007,0.016,0.014,4.538,1.223,16.915,0.276,0.095
86_4_PFM,BC,NA,BC,63,101,38,10YR3/6,10YR,3,6,0,NA,NA,NA,NA,1sbk,vfr,NA,35,0,Y,Y,86_4_PFM BC,3.91,5.11813,0.18575,27.55422,8.82365,0.08824,0.70238,0.062,0.014,0.015,0.021,4.876,1.314,9.291,0.327,0.112
86_4_W4.1,Oi,NA,Oi,0,5,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,86_4_W4.1 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_4_W4.1,Oe,NA,Oe,5,8,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,86_4_W4.1 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_4_W4.1,Oa,NA,Oa,8,15,7,5YR2.5/2,5YR,2.5,2,0,NA,NA,NA,NA,1mgr,vfr,as,0,m,Y,Y,86_4_W4.1 Oa,2.76,28.6483,1.50145,19.08042,49.38967,0.4939,0.2084,2.117,0.026,0.722,0.283,0.214,33.57,1.898,13.099,3.148
86_4_W4.1,E,NA,E,15,19.5,4.5,7.5YR5/1,7.5YR,5,1,0,NA,NA,NA,ls,2msbk,vfr,aw,5,f,Y,Y,86_4_W4.1 E,3.03,1.23968,0.06188,20.03465,2.13721,0.02137,1.15279,0.105,0.007,0.027,0.017,0.352,1.273,4.853,0.49,0.155
86_4_W4.1,Bhs,NA,Bhs,19.5,24,4.5,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,cw,10,f,Y,Y,86_4_W4.1 Bhs,3.18,5.28878,0.24348,21.72186,9.11787,0.09118,0.69051,0.228,0.012,0.07,0.031,1.854,1.58,273.989,0.926,0.341
86_4_W4.1,Bs,1,Bs.1,24,33,9,7.5YR3/4,7.5YR,3,4,0,NA,NA,NA,sl,2msbk,fr,cs,10,f,Y,Y,86_4_W4.1 Bs.1,3.64,2.82071,0.11881,23.74122,4.8629,0.04863,0.9139,0.049,0.007,0.02,0.024,3.258,1.83,93.964,0.505,0.101
86_4_W4.1,Bs,2,Bs.2,33,43,10,7.5YR3/4,7.5YR,3,4,0,NA,NA,NA,sl,2msbk,fr,cs,10,f,Y,Y,86_4_W4.1 Bs.2,3.68,3.14852,0.1407,22.37796,5.42806,0.05428,0.87624,0.041,0.007,0.018,0.018,3.954,2.174,40.855,0.263,0.083
86_4_W4.1,Bs,3,Bs.3,43,53,10,7.5YR3/4,7.5YR,3,4,0,NA,NA,NA,sl,2msbk,fr,cs,10,f,Y,Y,86_4_W4.1 Bs.3,3.89,4.04839,0.16146,25.07329,6.97942,0.06979,0.78722,0.039,0.011,0.013,0.028,2.754,1.041,7.123,0.11,0.09
86_4_W4.1,BC,1,BC.1,53,62,9,10YR3/4,10YR,3,4,5YR3/3,NA,NA,NA,sl,2mabk,fr,gs,20,0,Y,Y,86_4_W4.1 BC.1,4.01,4.00348,0.16772,23.87013,6.902,0.06902,0.79123,0.031,0.005,0.006,0.014,55548005559,2.463,10.736,0.061,0.057
86_4_W4.1,BC,2,BC.2,62,82,20,10YR3/4,10YR,3,4,5YR3/3,NA,NA,NA,sl,2mabk,fr,gs,20,0,Y,Y,86_4_W4.1 BC.2,4.09,2.6939,0.10542,25.55447,4.64429,0.04644,0.92934,0.025,0.005,0.005,0.01,6.479,1.984,8.802,0.045,0.044
86_4_W4.1,D,1,D.1,82,92,10,10YR5/3,10YR,5,3,5YR3/3,NA,NA,gr,sl,2mpl,NA,NA,30,NA,Y,Y,86_4_W4.1 D.1,4.15,1.46608,0.04981,29.43361,2.52753,0.02528,1.1112,0.024,0.006,0.004,0.012,7.093,3.013,10.433,0.053,0.045
86_4_W4.1,D,2,D.2,100,110,10,10YR5/3,10YR,5,3,0,NA,NA,vgr,ls,NA,NA,NA,35,NA,Y,Y,86_4_W4.1 D.2,4,1.24365,0.04386,28.3571,2.14405,0.02144,1.15204,0.032,0.006,0.007,0.012,5.948,2.881,12.321,0.223,0.057
86_4_W4.1,D,3,D.3,110,120,10,10YR5/3,10YR,5,3,0,NA,NA,gr,ls,NA,NA,NA,25,NA,Y,NA,86_4_W4.1 D.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_4_W4.1,D,4,D.4,125,135,10,10YR5/3,10YR,5,3,0,NA,NA,gr,s,NA,NA,NA,21,NA,Y,Y,86_4_W4.1 D.4,4.23,0.58835,0.0207,28.415,1.01431,0.01014,1.29192,0.013,0.003,0.003,0.013,4.294,2.71,11.251,0.801,0.032
86_5_W5.1,Oi,NA,Oi,0,5,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,86_5_W5.1 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_5_W5.1,Oe,NA,Oe,5,10,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,86_5_W5.1 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_5_W5.1,Oa1,NA,Oa1,10,13,3,2.5Y2.5/2,2.5Y,2.5,2,0,NA,NA,NA,NA,1mgr,NA,as,0,m,Y,NA,86_5_W5.1 Oa1,NA,NA,NA,NA,NA,NA,NA,0.578,0.062,0.322,0.527,7.228,15.545,4.142,22.307,1.488
86_5_W5.1,Oa2,NA,Oa2,13,23,10,2.5Y2.5/1,2.5Y,2.5,1,0,NA,NA,NA,NA,2mgr,NA,as,0,m,Y,NA,86_5_W5.1 Oa2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86_5_W5.1,Bhs,NA,Bhs,23,32,9,7.5YR3/1,7.5YR,3,1,7.5YR2.5/1,NA,NA,NA,sl,2msbk,fr,cs,5,c,Y,NA,86_5_W5.1 Bhs,3.88,NA,NA,NA,NA,NA,NA,0.145,0.016,0.059,0.059,3.563,4.034,8.524,1.615,0.279
86_5_W5.1,Bh1,NA,Bh1,32,51,19,10YR3/3,10YR,3,3,7.5YR2.5/1,NA,NA,NA,sl,2msbk,fr,cs,10,f,Y,NA,86_5_W5.1 Bh1,3.92,NA,NA,NA,NA,NA,NA,0.137,0.013,0.04,0.045,3.356,2.775,10.629,6.063,0.236
