ID,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
28,52_4_X4.2,Bhs,NA,6/3/21 15:43,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.729231929,0.778079603,0.274187603,3.706099222,0.69522176,0.788401115,48.74796002,17.64229939,0.075958711,VT,7.780796033,0.038826328,7.884011146,0.034293219,6.952217598,0.057219898,37.06099222,0.094785146,487.4796002,5.420455154,2.741876033,176.4229939,0.759587108,0.225124591
29,52_4_X4.2,Bs,NA,6/3/21 15:46,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.945124438,0.476286484,0.127119304,1.310836736,0.103420277,0.256841964,47.31275803,0.568273385,0.015808801,VT,4.762864843,0.023766791,2.568419643,0.011171899,1.034202773,0.008511957,13.10836736,0.033525236,473.1275803,5.260870055,1.271193039,5.682733853,0.158088005,0.076975883
30,52_4_X4.2,Cd,NA,6/3/21 15:50,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.805168286,0.188856917,0.076474925,1.047437059,0.038505054,0.124882176,16.25158511,0.502123631,0.007390096,VT,1.888569171,0.009423998,1.248821757,0.005432022,0.385050537,0.00316914,10.47437059,0.026788672,162.5158511,1.80707025,0.764749251,5.021236307,0.073900959,0.044813831
31,86_2_PFM,Oa,NA,6/3/21 15:54,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.706062183,31.86106333,2.207357181,13.61976202,8.996529718,1.405129183,4.542141606,4.966227843,0.537521108,VT,318.6106333,1.58987342,14.05129183,0.061119147,89.96529718,0.740455121,136.1976202,0.34833151,45.42141606,0.505056517,22.07357181,49.66227843,5.375211079,2.739779197
33,86_2_PFM,E,NA,6/3/21 16:01,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.786306661,0.655048007,0.030406132,0.966493527,0.108021971,0.189606678,1.899739832,0.031462441,0.014334821,VT,6.550480074,0.032687026,1.896066784,0.008247354,1.080219711,0.008890697,9.66493527,0.024718505,18.99739832,0.211238677,0.304061321,0.314624413,0.143348207,0.074543582
34,86_3_PFM,Oa,NA,6/3/21 16:05,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.920509227,6.00797875,1.120793971,11.06599312,2.995499377,1.157573364,77.62824019,1.010760622,0.325935312,VT,60.0797875,0.299799339,11.57573364,0.050351169,29.95499377,0.246543159,110.6599312,0.283017727,776.2824019,8.631753913,11.20793971,10.10760622,3.259353116,0.879711393
35,86_3_PFM,Bhs1,NA,6/3/21 16:08,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.670007594,5.035193433,1.694807372,10.44546471,3.009939707,1.261963992,118.1935387,1.999127455,0.188907878,VT,50.35193433,0.251257157,12.61963992,0.054891866,30.09939707,0.247731663,104.4546471,0.267147435,1181.935387,13.14235049,16.94807372,19.99127455,1.889078779,0.821028121
36,86_3_PFM,Bhs2,NA,6/3/21 16:12,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.84036124,2.304734924,0.358232427,2.283011332,0.444313533,0.502580935,67.8839696,2.533770808,0.056838853,VT,23.04734924,0.115006733,5.025809354,0.02186085,4.443135328,0.036569015,22.83011332,0.058389037,678.839696,7.548254589,3.582324269,25.33770808,0.568388529,0.231825634
37,86_3_PFM,C,NA,6/3/21 16:19,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.75460374,0.747093109,0.162282761,1.079494151,0.098571053,0.159378199,25.21835008,2.974935312,0.040674451,VT,7.470931087,0.037280095,1.593781993,0.006932501,0.985710529,0.008112844,10.79494151,0.027608546,252.1835008,2.80411602,1.622827615,29.74935312,0.406744512,0.079933986
38,86_4_PFM,Oa,NA,6/3/21 16:22,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.822508651,24.37555119,0.463700164,13.62944181,5.105420111,1.293919215,33.14330289,0.409267982,0.636005037,VT,243.7555119,1.21634487,12.93919215,0.056281828,51.05420111,0.420199186,136.2944181,0.348579074,331.4330289,3.685319076,4.637001641,4.092679817,6.360050372,2.041404958
