hid,mean_CaCl2_P,mean_M3_P,mean_MM_P,mean_MM_Ca,mean_MM_K,mean_MM_Mg,mean_MM_Na,mean_MM_Fe,mean_MM_Al,mean_MM_Mn,MM_solution,MM_soil,MM_Ca_mgkg,MM_Ca_cmolkg,MM_Na_mgkg,MM_Na_cmolkg,MM_Mg_mgkg,MM_Mg_cmolkg,MM_K_mgKg,MM_K_cmolkg,MM_Al_mgkg,MM_Al_cmolkg,MM_P_mgkg,M3_P_mgkg,CaCl2_P_mgkg,MM_Fe_mgKg,MM_Mn_mgKg,CEC_cmolkg
BR3.1Bhs3,0.07575343402980253,0.09515736558239672,0.9229411044462787,9.793286037224071,3.0228715502185515,0.9229411044462787,1.1085941580627203,18.783610658751222,46.85201048033869,0.3458956904464869,20,4,48.966430186120355,0.2443434640025966,5.542970790313602,0.02411035576473946,4.614705522231394,0.037981115409311886,15.114357751092758,0.03865564642223211,234.26005240169346,2.604818966660787,4.614705522231394,0.9515736558239672,0.7575343402980252,93.91805329375612,1.7294784522324345,0.34509058159888006
BR3.1Bhs4.1,0.09903353866815129,0.08211658167271232,0.7987400768406802,11.313760483241355,3.3433466504368603,0.7987400768406802,1.2006877213451006,17.357941041612513,54.417745764578214,0.26736671668023027,20,4,56.56880241620677,0.2822794531746845,6.003438606725503,0.026113260577318415,3.993700384203401,0.03286996200990454,16.7167332521843,0.04275379348384732,272.0887288228911,3.025449171492488,3.993700384203401,0.8211658167271232,0.9903353866815129,86.78970520806257,1.3368335834011513,0.3840164692457548
BR3.1Bhs4.2,0.041402157450788304,0.6156491711989992,0.27825979513358745,6.176983028548314,1.4648373655042195,0.27825979513358745,1.2049539769051036,3.929970822597527,20.089694088117188,0.19314494410778432,20,4,30.884915142741573,0.15411634302765256,6.024769884525519,0.0262060456047217,1.3912989756679373,0.011451020375867796,7.324186827521099,0.018731935620258565,100.44847044058594,1.1169214652400214,1.3912989756679373,6.156491711989992,0.414021574507883,19.649854112987633,0.9657247205389217,0.21050534462850062
BR3.1CB,0.03370364659344151,0.7363487983864625,0.1841263755602801,5.711866738136301,1.152535842434507,0.1841263755602801,1.222701378519721,1.65223918819891,14.242916512560608,0.33067380187455553,20,4,28.559333690681505,0.14251164516308137,6.113506892598605,0.02659202650108136,0.9206318778014005,0.007577217101246095,5.762679212172534,0.014738310005556352,71.21458256280306,0.7918597023291667,0.9206318778014005,7.3634879838646246,0.33703646593441505,8.26119594099455,1.6533690093727778,0.1914191987709652
BR3.1E,0.21005001968067505,1.303436332518018,1.1071029155835599,10.004068506627487,4.855915977481804,1.1071029155835599,1.6276266645783912,12.405324215055494,4.994768603025081,0.4230463735166536,20,4,50.02034253313744,0.2496025076503864,8.138133322891957,0.035398579046941964,5.5355145779178,0.04555979076475555,24.27957988740902,0.06209611224401283,24.973843015125404,0.2776928430147376,5.5355145779178,13.034363325180182,2.100500196806751,62.02662107527747,2.1152318675832684,0.39265698970609675
BR3.1Oa,9.06181974645385,8.613981936686825,11.807698736511437,102.78989696617481,50.38169694508056,11.807698736511437,2.0158758786820217,0.45438961460999494,1.6730224017546784,NA,20,4,513.9494848308741,2.5646181877788132,10.079379393410107,0.043842450602044836,59.03849368255719,0.48591352825149947,251.90848472540284,0.6442672243616441,8.365112008773393,0.0930145886816908,59.03849368255719,86.13981936686825,90.6181974645385,2.2719480730499746,NA,3.7386413909940015
WBD1BC,0.02531378161297862,0.3282861065915089,0.4460977144023782,5.024579911272093,1.8833227448993042,0.4460977144023782,1.737444889808694,10.93003302701546,100.56711996775388,0.06566550489601317,18,4,22.610609600724416,0.11282739321718771,7.818502004139122,0.03400827318024847,2.007439714810702,0.01652213757045845,8.474952352046868,0.02167506995408406,452.5520398548925,5.03208346762297,2.007439714810702,3.282861065915089,0.2531378161297862,49.185148621569574,0.29549477203205926,0.1850328739219787
WBD1Bh,0.0635281785320416,0.06598579261274384,0.6021742109214907,6.195731327451156,3.325062619517343,0.6021742109214907,1.402727087283246,83.21531207783573,61.91170249466391,0.04673665770472228,18,4,27.880790973530203,0.13912570346072956,6.312271892774607,0.027456598054695986,2.709783949146708,0.022302748552647803,14.962781787828044,0.03826798411209219,278.6026612259877,3.0978798505484173,2.709783949146708,0.6598579261274384,0.635281785320416,374.4689043502608,0.21031495967125027,0.22715303418016553
WBD1Bs1,0.023518583291682,-0.048483340548046205,0.3660512813624306,4.9006099579890865,1.8912064568333218,0.3660512813624306,1.416682088121063,75.05675551486206,74.67416631297783,0.03932956922614696,18,4,22.05274481095089,0.11004363678119207,6.375069396544784,0.027729749441256134,1.6472307661309378,0.013557454865275206,8.510429055749949,0.021765803211636698,336.03374840840024,3.7364760757049686,1.6472307661309378,-0.4848334054804621,0.23518583291682,337.7553998168793,0.1769830615176613,0.17309664429936011
WBD1Bs2,0.025520899624918113,0.7660095745424274,0.4485258575213592,4.628911978977321,2.016035955856376,0.4485258575213592,1.61031927204112,9.986223584586352,62.082799851131384,0.21272153761689966,18,4,20.830103905397944,0.10394263425847279,7.24643672418504,0.03151995095339295,2.0183663588461163,0.016612068797087376,9.07216180135369,0.02320245985000944,279.37259933009125,3.1064410600084273,2.0183663588461163,7.660095745424274,0.2552089962491812,44.938006130638584,0.9572469192760484,0.17527711385896255
