pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,name,type,CN_id,pedon.y,horizon.y,N_pct,C_pct,CNRatio,CN_type,om_pct,om,bd
52_3_PFM,Bhs1,NA,Bhs1,23,33,10,7.5YR3/1,7.5YR,3,1,7.5YR2.5/1,NA,NA,gr,sl,2msbk,fr,cw,20,f,Y,Y,52_3_PFM_Bhs1,sample,52.3_Bhs1,52_3_PFM,Bhs1,0.409462,8.367753,20.43599,Min.Soil,14.426006172000001,0.14426006172,0.5291549367687007
52_3_PFM,Bhs2,NA,Bhs2,33,48,15,7.5YR3/2,7.5YR,3,2,0,NA,NA,vgr,sl,1msbk,fr,NA,50,NA,Y,Y,52_3_PFM_Bhs2,sample,52.3_Bhs2,52_3_PFM,Bhs2,0.083263,1.660616,19.94422,Min.Soil,2.862901984,0.028629019840000002,1.0777835081084792
52_3_X3.1,Oa,NA,Oa,4,9,5,10YR2.5/1,10YR,2.5,1,0,NA,NA,NA,NA,1mgr,vfr,cs,0,c,Y,Y,52_3_X3.1_Oa,sample,X3.1_Oa,52_3_X3.1,Oa,0.602179,11.15172,18.51894,Min.Soil,19.225565279999998,0.19225565279999998,0.43685329804973017
52_3_X3.1,E,NA,E,9,15,6,5YR4/1,5YR,4,1,0,NA,NA,NA,ls,2msbk,vfr,as,5,NA,Y,Y,52_3_X3.1_E,sample,X3.1_E,52_3_X3.1,E,0.11844,1.849276,15.61361,Min.Soil,3.1881518239999997,0.03188151824,1.0472423556904469
52_3_X3.1,Bhs1,NA,Bhs1,15,20,5,7.5YR2.5/1,7.5YR,2.5,1,10YR2.5/1,NA,NA,NA,sl,2msbk,fr,cs,5,f,Y,Y,52_3_X3.1_Bhs1,sample,X3.1_Bhs1,52_3_X3.1,Bhs1,0.461684,8.570352,18.56322,Min.Soil,14.775286847999999,0.14775286848,0.5211417934502304
52_3_X3.1,Bhs2,1,Bhs2.1,20,28,8,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,aw,10,f,Y,Y,52_3_X3.1_Bhs2.1,sample,X3.1_Bhs2.1,52_3_X3.1,Bhs2.1,0.32405,6.539672,20.18107,Min.Soil,11.274394528,0.11274394528000001,0.614397063364265
52_3_X3.1,Bhs2,2,Bhs2.2,28,36,8,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,aw,10,f,Y,Y,52_3_X3.1_Bhs2.2,sample,X3.1_Bhs2.2,52_3_X3.1,Bhs2.2,0.313042,6.539776,20.89105,Min.Soil,11.274573823999999,0.11274573823999999,0.6143914327668168
52_3_X3.1,Bhs2,3,Bhs2.3,36,46,10,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,aw,10,f,Y,Y,52_3_X3.1_Bhs2.3,sample,X3.1_Bhs2.3,52_3_X3.1,Bhs2.3,0.209279,4.682695,22.37536,Min.Soil,8.07296618,0.0807296618,0.734606075853886
52_3_X3.1,BC,1,BC.1,46,55,9,10YR4/4,10YR,4,4,5YR2.5/2,NA,NA,NA,ls,2msbk,fr,NA,15,NA,Y,Y,52_3_X3.1_BC.1,sample,X3.1_BC1,52_3_X3.1,BC.1,0.105705,2.481449,23.47533,Min.Soil,4.278018076,0.04278018076,0.9564265150737875
52_3_X3.1,BC,2,BC.2,55,75,20,10YR4/4,10YR,4,4,5YR2.5/2,NA,NA,NA,ls,2msbk,fr,NA,15,NA,Y,Y,52_3_X3.1_BC.2,sample,X3.1_BC2,52_3_X3.1,BC.2,0.047221,1.154406,24.44692,Min.Soil,1.990195944,0.019901959440000002,1.169280729128226
52_3_X3.1,D,1,D.1,105,180,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,52_3_X3.1_D.1,sample,X3.1_D1,52_3_X3.1,D.1,0.009684,0.266844,27.55381,Min.Soil,0.46003905600000006,0.004600390560000001,1.3737632795744525
52_3_X3.1,D,3,D.3,280,300,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,52_3_X3.1_D.3,sample,X3.1_D3,52_3_X3.1,D.3,0.003191,0.051537,16.1508,Min.Soil,0.088849788,8.8849788e-4,1.434623694693025
52_4_PFM,Bh1,NA,Bh1,15,32,17,10YR3/1,10YR,3,1,0,NA,NA,NA,sl,2msbk,fr,cs,2,c,Y,Y,52_4_PFM_Bh1,sample,52.4_Bh1,52_4_PFM,Bh1,0.290942,5.232807,17.98577,Min.Soil,9.021359268,0.09021359268,0.6943605566291539
