X,Pedon,TDepth,BDepth,Depth,Name,Ti,Zr,Y,Ratio,Fe,Al,Si,Mn,Ca,P,K,Ce,tau_Fe,tau_Al,tau_Si,tau_Mn,tau_Ca,tau_P,tau_K,tau_Ce,LV,Hor,Cat
72,86_3_W3.2,27,34,30.5,86_3_W3.2_Bhs2.2,3470.230137,255,27,13.60874563,32243.75808,52767.34044,297990.9045,402.7201599,6217.854026,567.3573191,18346.31986,56.5,0.176861617,-0.381359243,-0.394351637,-0.496204261,-0.503520856,-0.369726129,-0.448271726,-0.368820219,L,Bhs,LBhs
73,86_3_W3.2,34,41,37.5,86_3_W3.2_Bhs3.1,2703.063544,197,23,13.72113474,22241.8982,50491.51734,349034.9936,441.4432522,6575.201958,349.1429656,19259.4851,43.3,0.04220611,-0.240034693,-0.08927233,-0.29102973,-0.325981827,-0.502058917,-0.256428092,-0.378995784,L,Bhs,LBhs
74,86_3_W3.2,41,49,45,86_3_W3.2_Bhs3.2,2816.939835,207,26,13.608405,23221.10127,51920.52254,345669.4493,418.2093968,6575.201958,305.5000949,20172.65035,47.1,0.044102806,-0.250117733,-0.134515604,-0.355496007,-0.35322937,-0.581914894,-0.252657043,-0.351804154,L,Bhs,LBhs
75,86_4_PFM,5,10,7.5,86_4_PFM_Oa,647.2968131,31,9,20.88054236,4616.243023,15613.20505,48192.72511,131.6585138,1715.270076,523.7144484,2656.480704,15.6,-0.096718289,-0.018658433,-0.474885716,-0.117011848,-0.265743488,2.119047619,-0.571710178,-0.065704973,V,Oa,VOa
76,86_4_PFM,10,16,13,86_4_PFM_E,3979.676703,345,32,11.53529479,19094.45978,43028.93458,380960.9211,526.6340553,4716.992709,130.9286121,19176.47008,60.6,-0.39228829,-0.560109685,-0.324837284,-0.425525781,-0.671575024,-0.873171256,-0.497130343,-0.409679671,V,E,VE
77,86_4_PFM,16,21,18.5,86_4_PFM_Bhs,3841.826455,202,27,19.01894285,39238.06569,45093.05322,282799.2114,480.1663445,5860.506093,436.428707,15606.82414,44.8,0.293623418,-0.522466878,-0.480822017,-0.457420513,-0.577315674,-0.562068197,-0.576053211,-0.547932611,V,Bhs,VBhs
78,86_4_PFM,21,63,42,86_4_PFM_Bs,3248.471043,221,34,14.698964,28746.60428,56895.57771,283874.3158,557.6125291,7075.489064,392.7858363,14693.65889,55.3,0.120845035,-0.28742413,-0.383656363,-0.254817032,-0.396473661,-0.533869267,-0.527952708,-0.34005303,V,Bs,VBs
79,86_4_W4.1,8,15,11.5,86_4_W4.1_Oa,863.0624174,36,8,23.97395604,4476.35687,13707.86477,89841.33624,178.1262246,2715.844287,785.5716726,5229.946386,9.6,-0.343067847,-0.353811528,-0.265807721,-0.104026728,-0.128070392,2.508928572,-0.36760331,-0.568786911,V,Oa,VOa
80,86_4_W4.1,15,19.5,17.25,86_4_W4.1_E,3440.262692,316,34,10.88690725,10001.85988,45357.68381,376333.2976,379.4863045,4788.462296,174.5714828,20504.71043,63.8,-0.631763205,-0.463597413,-0.228462825,-0.521134116,-0.614323452,-0.804380289,-0.37799111,-0.281061104,V,E,VE
81,86_4_W4.1,19.5,24,21.75,86_4_W4.1_Bhs,3865.800411,291,25,13.2845375,27907.28736,49750.55167,314023.9838,433.6986338,6503.732372,349.1429656,18512.34991,60.6,-0.085642107,-0.476411531,-0.427073109,-0.512967411,-0.533832494,-0.651827243,-0.500245539,-0.39229039,V,Bhs,VBhs
82,86_4_W4.1,24,33,28.5,86_4_W4.1_Bs.1,3350.360357,299,29,11.20521858,23850.58895,54831.45908,337068.6137,511.1448184,7718.715342,349.1429656,19093.45506,62.8,-0.098334178,-0.33416,-0.290417968,-0.337689198,-0.361630296,-0.598262203,-0.405259438,-0.273340375,V,Bs,VBs
83,86_4_W4.1,33,43,38,86_4_W4.1_Bs.2,3146.58173,243,27,12.94889601,22661.55666,57477.76502,323559.6927,487.910963,7432.836996,349.1429656,18678.37995,69.7,-0.087802781,-0.256822665,-0.274744195,-0.326851385,-0.345462767,-0.572244898,-0.380509365,-0.141269933,V,Bs,VBs
84,86_4_W4.1,43,53,48,86_4_W4.1_Bs.3,3074.659862,229,28,13.42646228,22311.84128,62399.89407,303927.3508,449.1878707,7146.95865,523.7144484,19010.44004,59.7,-0.080871242,-0.174307435,-0.302814218,-0.365779408,-0.355915341,-0.343358396,-0.354747571,-0.247268379,V,Bs,VBs
